en:asimov-ocelove_jesky:0:shuff:3,cs:asimov-ocelove_jesky:0:shuff:4,glistened,glisten,leskla,lesknout,impf
en:asimov-ocelove_jesky:0:shuff:4,cs:asimov-ocelove_jesky:0:shuff:5,turned,turn,Otočil,otočit,pf
en:asimov-ocelove_jesky:0:shuff:5,cs:asimov-ocelove_jesky:0:shuff:6,needed,need,potřeboval,potřebovat,impf
en:asimov-ocelove_jesky:0:shuff:14,cs:asimov-ocelove_jesky:0:shuff:14,mean,mean,Chceš,chtít,impf
en:asimov-ocelove_jesky:0:shuff:14,cs:asimov-ocelove_jesky:0:shuff:14,gone,go,odešel,odejít,pf
en:asimov-ocelove_jesky:0:shuff:18,cs:asimov-ocelove_jesky:0:shuff:18,answer,answer,odpověz,odpovědět,pf
en:asimov-ocelove_jesky:0:shuff:20,cs:asimov-ocelove_jesky:0:shuff:20,do,do,udělat,udělat,pf
en:asimov-ocelove_jesky:0:shuff:20,cs:asimov-ocelove_jesky:0:shuff:20,want,want,chci,chtít,impf
en:asimov-ocelove_jesky:0:shuff:23,cs:asimov-ocelove_jesky:0:shuff:23,take,take,udělá,udělat,pf
en:asimov-ocelove_jesky:0:shuff:23,cs:asimov-ocelove_jesky:0:shuff:23,do,do,udělá,udělat,pf
en:asimov-ocelove_jesky:0:shuff:27,cs:asimov-ocelove_jesky:0:shuff:27,present,present,ukázali,ukázat,pf
en:asimov-ocelove_jesky:0:shuff:27,cs:asimov-ocelove_jesky:0:shuff:27,speak,speak,hovořili,hovořit,impf
en:asimov-ocelove_jesky:0:shuff:28,cs:asimov-ocelove_jesky:0:shuff:28,believe,believe,uvěřil,uvěřit,pf
en:asimov-ocelove_jesky:0:shuff:30,cs:asimov-ocelove_jesky:0:shuff:30,hated,hate,nenáviděl,nenávidět,impf
en:asimov-ocelove_jesky:0:shuff:32,cs:asimov-ocelove_jesky:0:shuff:32,Come,come,Pojďte,jít,impf
en:asimov-ocelove_jesky:0:shuff:36,cs:asimov-ocelove_jesky:0:shuff:36,thought,think,pomyslel,pomyslet,pf
en:asimov-ocelove_jesky:0:shuff:41,cs:asimov-ocelove_jesky:0:shuff:42,said,say,řekla,říci,pf
en:asimov-ocelove_jesky:0:shuff:42,cs:asimov-ocelove_jesky:0:shuff:43,calls,call,říká,říkat,impf
en:asimov-ocelove_jesky:0:shuff:45,cs:asimov-ocelove_jesky:0:shuff:46,opened,open,Otevřely,otevřít,pf
en:asimov-ocelove_jesky:0:shuff:47,cs:asimov-ocelove_jesky:0:shuff:48,said,say,řekl,říci,pf
en:asimov-ocelove_jesky:0:shuff:48,cs:asimov-ocelove_jesky:0:shuff:49,said,say,pravil,pravit,pf
en:asimov-ocelove_jesky:0:shuff:51,cs:asimov-ocelove_jesky:0:shuff:53,put,put,vyjádřit,vyjádřit,pf
en:asimov-ocelove_jesky:0:shuff:52,cs:asimov-ocelove_jesky:0:shuff:54,give,give,dáváme,dávat,impf
en:asimov-ocelove_jesky:0:shuff:52,cs:asimov-ocelove_jesky:0:shuff:54,extend,extend,rozšiřovat,rozšiřovat,impf
en:asimov-ocelove_jesky:0:shuff:54,cs:asimov-ocelove_jesky:0:shuff:56,wanted,want,Potřeboval,potřebovat,impf
en:asimov-ocelove_jesky:0:shuff:54,cs:asimov-ocelove_jesky:0:shuff:56,think,think,přemýšlet,přemýšlet,impf
en:asimov-ocelove_jesky:0:shuff:55,cs:asimov-ocelove_jesky:0:shuff:57,moved,move,postupovala,postupovat,impf
en:asimov-ocelove_jesky:0:shuff:55,cs:asimov-ocelove_jesky:0:shuff:57,went,go,postupovala,postupovat,impf
en:asimov-ocelove_jesky:0:shuff:55,cs:asimov-ocelove_jesky:0:shuff:57,moved,move,pohybovala,pohybovat,impf
en:asimov-ocelove_jesky:0:shuff:56,cs:asimov-ocelove_jesky:0:shuff:58,questioning,question,vyšetřovat,vyšetřovat,impf
en:asimov-ocelove_jesky:0:shuff:56,cs:asimov-ocelove_jesky:0:shuff:58,said,say,řekl,říci,pf
en:asimov-ocelove_jesky:0:shuff:57,cs:asimov-ocelove_jesky:0:shuff:59,said,say,řekl,říci,pf
en:asimov-ocelove_jesky:0:shuff:58,cs:asimov-ocelove_jesky:0:shuff:60,find,find,zjistíme,zjistit,pf
en:asimov-ocelove_jesky:0:shuff:62,cs:asimov-ocelove_jesky:0:shuff:65,listening,listen,poslouchat,poslouchat,impf
en:asimov-ocelove_jesky:0:shuff:64,cs:asimov-ocelove_jesky:0:shuff:67,tell,tell,řeknete,říci,pf
en:asimov-ocelove_jesky:0:shuff:66,cs:asimov-ocelove_jesky:0:shuff:69,left,leave,opustil,opustit,pf
en:asimov-ocelove_jesky:0:shuff:66,cs:asimov-ocelove_jesky:0:shuff:69,call,call,telefonoval,telefonovat,impf
en:asimov-ocelove_jesky:0:shuff:68,cs:asimov-ocelove_jesky:0:shuff:71,raised,raise,zvedly,zvednout,pf
en:asimov-ocelove_jesky:0:shuff:69,cs:asimov-ocelove_jesky:0:shuff:72,said,say,řekl,říci,pf
en:asimov-ocelove_jesky:0:shuff:70,cs:asimov-ocelove_jesky:0:shuff:73,hope,hope,Doufám,doufat,impf
en:asimov-ocelove_jesky:0:shuff:74,cs:asimov-ocelove_jesky:0:shuff:78,explain,explain,vysvětlit,vysvětlit,pf
en:asimov-ocelove_jesky:0:shuff:76,cs:asimov-ocelove_jesky:0:shuff:80,trying,try,snažit,snažit,impf
en:asimov-ocelove_jesky:0:shuff:76,cs:asimov-ocelove_jesky:0:shuff:80,understand,understand,pochopit,pochopit,pf
en:asimov-ocelove_jesky:0:shuff:76,cs:asimov-ocelove_jesky:0:shuff:80,understood,understand,pochopit,pochopit,pf
en:asimov-ocelove_jesky:0:shuff:77,cs:asimov-ocelove_jesky:0:shuff:81,makes,make,dělá,dělat,impf
en:asimov-ocelove_jesky:0:shuff:82,cs:asimov-ocelove_jesky:0:shuff:86,see,see,nechápete,chápat,impf
en:asimov-ocelove_jesky:0:shuff:87,cs:asimov-ocelove_jesky:0:shuff:92,killed,kill,zabíjela,zabíjet,impf
en:asimov-ocelove_jesky:0:shuff:88,cs:asimov-ocelove_jesky:0:shuff:93,want,want,Nechci,chtít,impf
en:asimov-ocelove_jesky:0:shuff:89,cs:asimov-ocelove_jesky:0:shuff:94,read,read,přečetla,přečíst,pf
en:asimov-ocelove_jesky:0:shuff:91,cs:asimov-ocelove_jesky:0:shuff:96,wrote,write,napsali,napsat,pf
en:asimov-ocelove_jesky:0:shuff:93,cs:asimov-ocelove_jesky:0:shuff:98,killed,kill,Zavraždila,zavraždit,pf
en:asimov-ocelove_jesky:0:shuff:94,cs:asimov-ocelove_jesky:0:shuff:99,say,say,Říkají,říkat,impf
en:asimov-ocelove_jesky:0:shuff:94,cs:asimov-ocelove_jesky:0:shuff:99,did,do,udělala,udělat,pf
en:asimov-ocelove_jesky:0:shuff:96,cs:asimov-ocelove_jesky:0:shuff:101,took,take,Trvalo,trvat,impf
en:asimov-ocelove_jesky:0:shuff:96,cs:asimov-ocelove_jesky:0:shuff:101,took,take,dostal,dostat,pf
en:asimov-ocelove_jesky:0:shuff:97,cs:asimov-ocelove_jesky:0:shuff:102,done,do,provedl,provést,pf
en:asimov-ocelove_jesky:0:shuff:102,cs:asimov-ocelove_jesky:0:shuff:107,harm,harm,ublížit,ublížit,pf
en:asimov-ocelove_jesky:0:shuff:103,cs:asimov-ocelove_jesky:0:shuff:108,grew,grow,rostla,růst,impf
en:asimov-ocelove_jesky:0:shuff:103,cs:asimov-ocelove_jesky:0:shuff:108,improved,improve,zlepšovala,zlepšovat,impf
en:asimov-ocelove_jesky:0:shuff:103,cs:asimov-ocelove_jesky:0:shuff:108,overcome,overcome,překonávat,překonávat,impf
en:asimov-ocelove_jesky:0:shuff:107,cs:asimov-ocelove_jesky:0:shuff:113,said,say,řekl,říci,pf
en:asimov-ocelove_jesky:0:shuff:107,cs:asimov-ocelove_jesky:0:shuff:113,mean,mean,myslím,myslet,impf
en:asimov-ocelove_jesky:0:shuff:107,cs:asimov-ocelove_jesky:0:shuff:113,break,break,prolomili,prolomit,pf
en:asimov-ocelove_jesky:0:shuff:107,cs:asimov-ocelove_jesky:0:shuff:113,force,force,přinutili,přinutit,pf
en:asimov-ocelove_jesky:0:shuff:114,cs:asimov-ocelove_jesky:0:shuff:121,decided,decide,Rozhodl,rozhodnout,pf
en:asimov-ocelove_jesky:0:shuff:116,cs:asimov-ocelove_jesky:0:shuff:123,said,say,řekl,říci,pf
en:asimov-ocelove_jesky:0:shuff:117,cs:asimov-ocelove_jesky:0:shuff:124,put,put,posadil,posadit,pf
en:asimov-ocelove_jesky:0:shuff:117,cs:asimov-ocelove_jesky:0:shuff:124,sat,sit,posadil,posadit,pf
en:asimov-ocelove_jesky:0:shuff:122,cs:asimov-ocelove_jesky:0:shuff:130,saw,see,Viděl,vidět,impf
en:asimov-ocelove_jesky:0:shuff:123,cs:asimov-ocelove_jesky:0:shuff:131,saw,see,Viděl,vidět,impf
en:asimov-ocelove_jesky:0:shuff:123,cs:asimov-ocelove_jesky:0:shuff:131,told,tell,řekli,říci,pf
en:asimov-ocelove_jesky:0:shuff:124,cs:asimov-ocelove_jesky:0:shuff:132,thought,think,Myslel,myslet,impf
en:asimov-ocelove_jesky:0:shuff:126,cs:asimov-ocelove_jesky:0:shuff:134,touched,touch,dotýkaly,dotýkat,impf
en:asimov-ocelove_jesky:0:shuff:129,cs:asimov-ocelove_jesky:0:shuff:137,handled,handle,spravovala,spravovat,impf
en:asimov-ocelove_jesky:0:shuff:132,cs:asimov-ocelove_jesky:0:shuff:141,stared,stare,zírala,zírat,impf
en:asimov-ocelove_jesky:0:shuff:140,cs:asimov-ocelove_jesky:0:shuff:150,get,get,získal,získat,pf
