en:grisham-klient:0:shuff:1,cs:grisham-klient:0:shuff:1,eat,eat,jíst,jíst,impf
en:grisham-klient:0:shuff:2,cs:grisham-klient:0:shuff:2,asked,ask,ptala,ptát,impf
en:grisham-klient:0:shuff:4,cs:grisham-klient:0:shuff:4,thought,think,pomyslel,pomyslet,pf
en:grisham-klient:0:shuff:5,cs:grisham-klient:0:shuff:5,need,need,Potřeboval,potřebovat,impf
en:grisham-klient:0:shuff:5,cs:grisham-klient:0:shuff:5,said,say,řekl,říci,pf
en:grisham-klient:0:shuff:11,cs:grisham-klient:0:shuff:11,buried,bury,pochovala,pochovat,pf
en:grisham-klient:0:shuff:11,cs:grisham-klient:0:shuff:11,lost,lose,ztratila,ztratit,pf
en:grisham-klient:0:shuff:15,cs:grisham-klient:0:shuff:14,set,set,položil,položit,pf
en:grisham-klient:0:shuff:16,cs:grisham-klient:0:shuff:15,come,come,Přijel,přijet,pf
en:grisham-klient:0:shuff:16,cs:grisham-klient:0:shuff:15,gone,go,odjel,odjet,pf
en:grisham-klient:0:shuff:16,cs:grisham-klient:0:shuff:15,leaving,leave,odjel,odjet,pf
en:grisham-klient:0:shuff:16,cs:grisham-klient:0:shuff:15,leaving,leave,zanechal,zanechat,pf
en:grisham-klient:0:shuff:19,cs:grisham-klient:0:shuff:18,shake,shake,neotřásla,otřást,pf
en:grisham-klient:0:shuff:19,cs:grisham-klient:0:shuff:18,shatter,shatter,neotřásla,otřást,pf
en:grisham-klient:0:shuff:26,cs:grisham-klient:0:shuff:25,handed,hand,předal,předat,pf
en:grisham-klient:0:shuff:26,cs:grisham-klient:0:shuff:25,studied,study,studovat,studovat,impf
en:grisham-klient:0:shuff:27,cs:grisham-klient:0:shuff:26,continued,continue,pokračoval,pokračovat,impf
en:grisham-klient:0:shuff:29,cs:grisham-klient:0:shuff:28,Look,look,Podívejte,podívat,pf
en:grisham-klient:0:shuff:30,cs:grisham-klient:0:shuff:29,tried,try,snažil,snažit,impf
en:grisham-klient:0:shuff:30,cs:grisham-klient:0:shuff:29,add,add,připsat,připsat,pf
en:grisham-klient:0:shuff:32,cs:grisham-klient:0:shuff:31,began,begin,začala,začít,pf
en:grisham-klient:0:shuff:33,cs:grisham-klient:0:shuff:32,reading,read,Četla,číst,impf
en:grisham-klient:0:shuff:36,cs:grisham-klient:0:shuff:35,hoping,hope,doufal,doufat,impf
en:grisham-klient:0:shuff:36,cs:grisham-klient:0:shuff:35,go,go,odejde,odejít,pf
en:grisham-klient:0:shuff:37,cs:grisham-klient:0:shuff:36,said,say,prohlásil,prohlásit,pf
en:grisham-klient:0:shuff:44,cs:grisham-klient:0:shuff:42,find,find,najdeme,najít,pf
en:grisham-klient:0:shuff:45,cs:grisham-klient:0:shuff:43,like,like,nelíbí,líbit,impf
en:grisham-klient:0:shuff:47,cs:grisham-klient:0:shuff:45,think,think,myslíš,myslet,impf
en:grisham-klient:0:shuff:47,cs:grisham-klient:0:shuff:45,going,go,pojedu,jet,impf
en:grisham-klient:0:shuff:49,cs:grisham-klient:0:shuff:47,doing,do,děláš,dělat,impf
en:grisham-klient:0:shuff:49,cs:grisham-klient:0:shuff:47,asked,ask,zeptal,zeptat,pf
en:grisham-klient:0:shuff:50,cs:grisham-klient:0:shuff:48,hurt,hurt,nebolel,bolet,impf
en:grisham-klient:0:shuff:53,cs:grisham-klient:0:shuff:50,stood,stand,postavil,postavit,pf
en:grisham-klient:0:shuff:53,cs:grisham-klient:0:shuff:50,released,release,uvolnil,uvolnit,pf
en:grisham-klient:0:shuff:54,cs:grisham-klient:0:shuff:51,heard,hear,slyšeli,slyšet,impf
en:grisham-klient:0:shuff:55,cs:grisham-klient:0:shuff:52,doing,do,dělal,dělat,impf
en:grisham-klient:0:shuff:56,cs:grisham-klient:0:shuff:53,watching,watch,Koukal,koukat,impf
en:grisham-klient:0:shuff:56,cs:grisham-klient:0:shuff:53,said,say,odpověděl,odpovědět,pf
en:grisham-klient:0:shuff:57,cs:grisham-klient:0:shuff:54,pointed,point,ukázal,ukázat,pf
en:grisham-klient:0:shuff:66,cs:grisham-klient:0:shuff:62,knocked,knock,zaklepali,zaklepat,pf
en:grisham-klient:0:shuff:67,cs:grisham-klient:0:shuff:63,waited,wait,Počkali,počkat,pf
en:grisham-klient:0:shuff:67,cs:grisham-klient:0:shuff:63,knocked,knock,zaklepali,zaklepat,pf
en:grisham-klient:0:shuff:68,cs:grisham-klient:0:shuff:64,hated,hate,Nenáviděl,nenávidět,impf
en:grisham-klient:0:shuff:68,cs:grisham-klient:0:shuff:64,needed,need,potřeboval,potřebovat,impf
en:grisham-klient:0:shuff:68,cs:grisham-klient:0:shuff:64,tired,tire,unavilo,unavit,pf
en:grisham-klient:0:shuff:68,cs:grisham-klient:0:shuff:64,waiting,wait,čekat,čekat,impf
