en:Kafka-Proces:0:shuff:1,cs:Kafka-Proces:0:shuff:1,convinced,convince,přesvědčit,přesvědčit,pf
en:Kafka-Proces:0:shuff:2,cs:Kafka-Proces:0:shuff:2,suffering,suffer,trpěla,trpět,impf
en:Kafka-Proces:0:shuff:4,cs:Kafka-Proces:0:shuff:4,believed,believe,věřil,věřit,impf
en:Kafka-Proces:0:shuff:5,cs:Kafka-Proces:0:shuff:5,said,say,řekl,říci,pf
en:Kafka-Proces:0:shuff:5,cs:Kafka-Proces:0:shuff:5,give,give,dát,dát,pf
en:Kafka-Proces:0:shuff:7,cs:Kafka-Proces:0:shuff:7,raised,raise,zdvihla,zdvihnout,pf
en:Kafka-Proces:0:shuff:12,cs:Kafka-Proces:0:shuff:11,let,let,nechávají,nechávat,impf
en:Kafka-Proces:0:shuff:13,cs:Kafka-Proces:0:shuff:12,telephoning,telephone,telefonovat,telefonovat,impf
en:Kafka-Proces:0:shuff:15,cs:Kafka-Proces:0:shuff:14,painting,paint,maluji,malovat,impf
en:Kafka-Proces:0:shuff:15,cs:Kafka-Proces:0:shuff:14,comes,come,přichází,přicházet,impf
en:Kafka-Proces:0:shuff:15,cs:Kafka-Proces:0:shuff:14,comes,come,přichází,přicházet,impf
en:Kafka-Proces:0:shuff:15,cs:Kafka-Proces:0:shuff:14,given,give,dal,dát,pf
en:Kafka-Proces:0:shuff:15,cs:Kafka-Proces:0:shuff:14,wait,wait,počkat,počkat,pf
en:Kafka-Proces:0:shuff:16,cs:Kafka-Proces:0:shuff:15,comes,come,přichází,přicházet,impf
en:Kafka-Proces:0:shuff:17,cs:Kafka-Proces:0:shuff:16,opened,open,otevřou,otevřít,pf
en:Kafka-Proces:0:shuff:19,cs:Kafka-Proces:0:shuff:18,understand,understand,Nechápu,chápat,impf
en:Kafka-Proces:0:shuff:19,cs:Kafka-Proces:0:shuff:18,said,say,řekl,říci,pf
en:Kafka-Proces:0:shuff:22,cs:Kafka-Proces:0:shuff:21,wanted,want,chtěl,chtít,impf
en:Kafka-Proces:0:shuff:22,cs:Kafka-Proces:0:shuff:21,speak,speak,promluvit,promluvit,pf
en:Kafka-Proces:0:shuff:23,cs:Kafka-Proces:0:shuff:22,thought,think,Myslel,myslet,impf
en:Kafka-Proces:0:shuff:23,cs:Kafka-Proces:0:shuff:22,do,do,jde,jít,impf
en:Kafka-Proces:0:shuff:27,cs:Kafka-Proces:0:shuff:26,observed,observe,pozoroval,pozorovat,impf
en:Kafka-Proces:0:shuff:27,cs:Kafka-Proces:0:shuff:26,see,see,pozoroval,pozorovat,impf
en:Kafka-Proces:0:shuff:27,cs:Kafka-Proces:0:shuff:26,looked,look,podívat,podívat,pf
en:Kafka-Proces:0:shuff:27,cs:Kafka-Proces:0:shuff:26,see,see,podívat,podívat,pf
en:Kafka-Proces:0:shuff:27,cs:Kafka-Proces:0:shuff:26,stood,stand,mají,mít,impf
en:Kafka-Proces:0:shuff:28,cs:Kafka-Proces:0:shuff:27,make,make,působit,působit,impf
en:Kafka-Proces:0:shuff:28,cs:Kafka-Proces:0:shuff:27,make,make,pochopit,pochopit,pf
en:Kafka-Proces:0:shuff:28,cs:Kafka-Proces:0:shuff:27,understand,understand,pochopit,pochopit,pf
en:Kafka-Proces:0:shuff:29,cs:Kafka-Proces:0:shuff:28,fastened,fasten,připevněna,připevnit,pf
en:Kafka-Proces:0:shuff:32,cs:Kafka-Proces:0:shuff:31,bent,bend,Sklonil,sklonit,pf
en:Kafka-Proces:0:shuff:32,cs:Kafka-Proces:0:shuff:31,began,begin,začal,začít,pf
en:Kafka-Proces:0:shuff:32,cs:Kafka-Proces:0:shuff:31,stop,stop,ustal,ustat,pf
en:Kafka-Proces:0:shuff:33,cs:Kafka-Proces:0:shuff:32,thought,think,neměla,mít,impf
en:Kafka-Proces:0:shuff:33,cs:Kafka-Proces:0:shuff:32,thought,think,neměla,mít,impf
en:Kafka-Proces:0:shuff:33,cs:Kafka-Proces:0:shuff:32,covered,cover,zakryl,zakrýt,pf
en:Kafka-Proces:0:shuff:33,cs:Kafka-Proces:0:shuff:32,began,begin,začal,začít,pf
en:Kafka-Proces:0:shuff:34,cs:Kafka-Proces:0:shuff:33,hope,hope,Doufám,doufat,impf
en:Kafka-Proces:0:shuff:34,cs:Kafka-Proces:0:shuff:33,removed,remove,odstranit,odstranit,pf
en:Kafka-Proces:0:shuff:36,cs:Kafka-Proces:0:shuff:36,asked,ask,ptal,ptát,impf
