en:siddons-bezpec_vysiny:0:shuff:2,cs:siddons-bezpec_vysiny:0:shuff:3,work,work,Pracujete,pracovat,impf
en:siddons-bezpec_vysiny:0:shuff:4,cs:siddons-bezpec_vysiny:0:shuff:5,like,like,líbí,líbit,impf
en:siddons-bezpec_vysiny:0:shuff:5,cs:siddons-bezpec_vysiny:0:shuff:6,take,take,Vezmu,vzít,pf
en:siddons-bezpec_vysiny:0:shuff:5,cs:siddons-bezpec_vysiny:0:shuff:6,like,like,chtít,chtít,impf
en:siddons-bezpec_vysiny:0:shuff:6,cs:siddons-bezpec_vysiny:0:shuff:7,sat,sit,usadily,usadit,pf
en:siddons-bezpec_vysiny:0:shuff:11,cs:siddons-bezpec_vysiny:0:shuff:14,seem,seem,zdá,zdát,impf
en:siddons-bezpec_vysiny:0:shuff:23,cs:siddons-bezpec_vysiny:0:shuff:30,meaning,mean,mínila,mínit,impf
en:siddons-bezpec_vysiny:0:shuff:26,cs:siddons-bezpec_vysiny:0:shuff:33,coming,come,jezdím,jezdit,impf
en:siddons-bezpec_vysiny:0:shuff:29,cs:siddons-bezpec_vysiny:0:shuff:37,whispered,whisper,šeptala,šeptat,impf
en:siddons-bezpec_vysiny:0:shuff:29,cs:siddons-bezpec_vysiny:0:shuff:37,shaking,shake,třásla,třást,impf
en:siddons-bezpec_vysiny:0:shuff:31,cs:siddons-bezpec_vysiny:0:shuff:39,opening,open,otevřel,otevřít,pf
en:siddons-bezpec_vysiny:0:shuff:32,cs:siddons-bezpec_vysiny:0:shuff:40,rest,rest,odpočinu,odpočinout,pf
en:siddons-bezpec_vysiny:0:shuff:34,cs:siddons-bezpec_vysiny:0:shuff:42,do,do,dělat,dělat,impf
en:siddons-bezpec_vysiny:0:shuff:41,cs:siddons-bezpec_vysiny:0:shuff:50,tell,tell,řekl,říci,pf
en:siddons-bezpec_vysiny:0:shuff:44,cs:siddons-bezpec_vysiny:0:shuff:54,hate,hate,nenávidím,nenávidět,impf
en:siddons-bezpec_vysiny:0:shuff:45,cs:siddons-bezpec_vysiny:0:shuff:55,stay,stay,Zůstanu,zůstat,pf
en:siddons-bezpec_vysiny:0:shuff:46,cs:siddons-bezpec_vysiny:0:shuff:56,get,get,dostat,dostat,pf
en:siddons-bezpec_vysiny:0:shuff:49,cs:siddons-bezpec_vysiny:0:shuff:60,bought,buy,nakoupila,nakoupit,pf
en:siddons-bezpec_vysiny:0:shuff:49,cs:siddons-bezpec_vysiny:0:shuff:60,smiling,smile,usmíval,usmívat,impf
en:siddons-bezpec_vysiny:0:shuff:57,cs:siddons-bezpec_vysiny:0:shuff:73,did,do,udělal,udělat,pf
en:siddons-bezpec_vysiny:0:shuff:57,cs:siddons-bezpec_vysiny:0:shuff:73,do,do,udělal,udělat,pf
en:siddons-bezpec_vysiny:0:shuff:60,cs:siddons-bezpec_vysiny:0:shuff:74,knocked,knock,srazil,srazit,pf
en:siddons-bezpec_vysiny:0:shuff:61,cs:siddons-bezpec_vysiny:0:shuff:75,knocked,knock,srazil,srazit,pf
en:siddons-bezpec_vysiny:0:shuff:62,cs:siddons-bezpec_vysiny:0:shuff:76,asked,ask,Zeptal,zeptat,pf
en:siddons-bezpec_vysiny:0:shuff:63,cs:siddons-bezpec_vysiny:0:shuff:77,tell,tell,prozradit,prozradit,pf
en:siddons-bezpec_vysiny:0:shuff:64,cs:siddons-bezpec_vysiny:0:shuff:78,said,say,Řekl,říci,pf
en:siddons-bezpec_vysiny:0:shuff:64,cs:siddons-bezpec_vysiny:0:shuff:78,tell,tell,Řekl,říci,pf
en:siddons-bezpec_vysiny:0:shuff:64,cs:siddons-bezpec_vysiny:0:shuff:78,decide,decide,rozhodneš,rozhodnout,pf
en:siddons-bezpec_vysiny:0:shuff:64,cs:siddons-bezpec_vysiny:0:shuff:78,said,say,povědět,povědět,pf
en:siddons-bezpec_vysiny:0:shuff:64,cs:siddons-bezpec_vysiny:0:shuff:78,tell,tell,povědět,povědět,pf
en:siddons-bezpec_vysiny:0:shuff:65,cs:siddons-bezpec_vysiny:0:shuff:79,knocked,knock,praštil,praštit,pf
en:siddons-bezpec_vysiny:0:shuff:66,cs:siddons-bezpec_vysiny:0:shuff:80,sounded,sound,zněl,znít,impf
en:siddons-bezpec_vysiny:0:shuff:70,cs:siddons-bezpec_vysiny:0:shuff:84,prevailed,prevail,vítězila,vítězit,impf
en:siddons-bezpec_vysiny:0:shuff:76,cs:siddons-bezpec_vysiny:0:shuff:90,realized,realize,Uvědomila,uvědomit,pf
en:siddons-bezpec_vysiny:0:shuff:77,cs:siddons-bezpec_vysiny:0:shuff:91,meet,meet,setkám,setkat,pf
en:siddons-bezpec_vysiny:0:shuff:78,cs:siddons-bezpec_vysiny:0:shuff:92,see,see,neuvidím,uvidět,pf
en:siddons-bezpec_vysiny:0:shuff:83,cs:siddons-bezpec_vysiny:0:shuff:97,think,think,myslím,myslet,impf
en:siddons-bezpec_vysiny:0:shuff:83,cs:siddons-bezpec_vysiny:0:shuff:97,said,say,odpověděl,odpovědět,pf
en:siddons-bezpec_vysiny:0:shuff:85,cs:siddons-bezpec_vysiny:0:shuff:100,tell,tell,říct,říci,pf
en:siddons-bezpec_vysiny:0:shuff:85,cs:siddons-bezpec_vysiny:0:shuff:100,said,say,říct,říci,pf
en:siddons-bezpec_vysiny:0:shuff:85,cs:siddons-bezpec_vysiny:0:shuff:100,like,like,líbit,líbit,impf
en:siddons-bezpec_vysiny:0:shuff:95,cs:siddons-bezpec_vysiny:0:shuff:117,speak,speak,nepromluvil,promluvit,pf
