en:king-carrie:0:shuff:12,cs:king-carrie:0:shuff:11,gave,give,nedají,dát,pf
en:king-carrie:0:shuff:12,cs:king-carrie:0:shuff:11,termed,term,označit,označit,pf
en:king-carrie:0:shuff:14,cs:king-carrie:0:shuff:14,died,die,zemřel,zemřít,pf
en:king-carrie:0:shuff:14,cs:king-carrie:0:shuff:14,fell,fall,spadla,spadnout,pf
en:king-carrie:0:shuff:16,cs:king-carrie:0:shuff:16,talking,talk,mluví,mluvit,impf
en:king-carrie:0:shuff:17,cs:king-carrie:0:shuff:17,think,think,myslí,myslet,impf
en:king-carrie:0:shuff:18,cs:king-carrie:0:shuff:18,said,say,říkala,říkat,impf
en:king-carrie:0:shuff:26,cs:king-carrie:0:shuff:25,hates,hate,nenávidí,nenávidět,impf
en:king-carrie:0:shuff:30,cs:king-carrie:0:shuff:29,saw,see,uviděla,uvidět,pf
en:king-carrie:0:shuff:33,cs:king-carrie:0:shuff:32,felt,feel,ucítila,ucítit,pf
en:king-carrie:0:shuff:33,cs:king-carrie:0:shuff:32,crush,crush,rozdrtí,rozdrtit,pf
en:king-carrie:0:shuff:33,cs:king-carrie:0:shuff:32,kill,kill,zabije,zabít,pf
en:king-carrie:0:shuff:34,cs:king-carrie:0:shuff:33,changed,change,vyměnila,vyměnit,pf
en:king-carrie:0:shuff:34,cs:king-carrie:0:shuff:33,hated,hate,nenávidí,nenávidět,impf
en:king-carrie:0:shuff:36,cs:king-carrie:0:shuff:35,vanquished,vanquish,zdolala,zdolat,pf
en:king-carrie:0:shuff:36,cs:king-carrie:0:shuff:35,vanquished,vanquish,zvítězila,zvítězit,pf
en:king-carrie:0:shuff:37,cs:king-carrie:0:shuff:36,seen,see,viděla,vidět,impf
en:king-carrie:0:shuff:38,cs:king-carrie:0:shuff:37,think,think,Myslím,myslet,impf
en:king-carrie:0:shuff:40,cs:king-carrie:0:shuff:39,agree,agree,souhlasit,souhlasit,impf
en:king-carrie:0:shuff:47,cs:king-carrie:0:shuff:46,climbed,climb,šplhala,šplhat,impf
