en:Skvorecky-PribehIng_2:0:shuff:1,cs:Skvorecky-PribehIng_2:0:shuff:1,go,go,chodit,chodit,impf
en:Skvorecky-PribehIng_2:0:shuff:3,cs:Skvorecky-PribehIng_2:0:shuff:3,gathers,gather,sebere,sebrat,pf
en:Skvorecky-PribehIng_2:0:shuff:4,cs:Skvorecky-PribehIng_2:0:shuff:4,read,read,číst,číst,impf
en:Skvorecky-PribehIng_2:0:shuff:13,cs:Skvorecky-PribehIng_2:0:shuff:18,spun,spin,Otočila,otočit,pf
en:Skvorecky-PribehIng_2:0:shuff:13,cs:Skvorecky-PribehIng_2:0:shuff:18,walked,walk,kráčela,kráčet,impf
en:Skvorecky-PribehIng_2:0:shuff:19,cs:Skvorecky-PribehIng_2:0:shuff:24,descends,descend,sklání,sklánět,impf
en:Skvorecky-PribehIng_2:0:shuff:23,cs:Skvorecky-PribehIng_2:0:shuff:28,descends,descend,sklání,sklánět,impf
en:Skvorecky-PribehIng_2:0:shuff:26,cs:Skvorecky-PribehIng_2:0:shuff:32,sings,sing,zpívá,zpívat,impf
en:Skvorecky-PribehIng_2:0:shuff:32,cs:Skvorecky-PribehIng_2:0:shuff:38,write,write,psát,psát,impf
en:Skvorecky-PribehIng_2:0:shuff:33,cs:Skvorecky-PribehIng_2:0:shuff:39,come,come,přijít,přijít,pf
en:Skvorecky-PribehIng_2:0:shuff:33,cs:Skvorecky-PribehIng_2:0:shuff:39,flattened,flatten,srovnali,srovnat,pf
en:Skvorecky-PribehIng_2:0:shuff:36,cs:Skvorecky-PribehIng_2:0:shuff:42,said,say,říkali,říkat,impf
en:Skvorecky-PribehIng_2:0:shuff:38,cs:Skvorecky-PribehIng_2:0:shuff:44,help,help,nepomůžu,pomoci,pf
en:Skvorecky-PribehIng_2:0:shuff:40,cs:Skvorecky-PribehIng_2:0:shuff:46,want,want,Chce,chtít,impf
en:Skvorecky-PribehIng_2:0:shuff:40,cs:Skvorecky-PribehIng_2:0:shuff:46,shout,shout,zavolat,zavolat,pf
en:Skvorecky-PribehIng_2:0:shuff:54,cs:Skvorecky-PribehIng_2:0:shuff:61,felt,feel,cítil,cítit,impf
en:Skvorecky-PribehIng_2:0:shuff:56,cs:Skvorecky-PribehIng_2:0:shuff:63,sat,sit,Seděl,sedět,impf
en:Skvorecky-PribehIng_2:0:shuff:60,cs:Skvorecky-PribehIng_2:0:shuff:67,said,say,pravil,pravit,pf
en:Skvorecky-PribehIng_2:0:shuff:62,cs:Skvorecky-PribehIng_2:0:shuff:70,does,do,dělá,dělat,impf
en:Skvorecky-PribehIng_2:0:shuff:62,cs:Skvorecky-PribehIng_2:0:shuff:70,said,say,řekl,říci,pf
en:Skvorecky-PribehIng_2:0:shuff:65,cs:Skvorecky-PribehIng_2:0:shuff:72,run,run,veď,vést,impf
en:Skvorecky-PribehIng_2:0:shuff:67,cs:Skvorecky-PribehIng_2:0:shuff:74,followed,follow,Následovalo,následovat,impf
en:Skvorecky-PribehIng_2:0:shuff:70,cs:Skvorecky-PribehIng_2:0:shuff:77,read,read,Četl,číst,impf
en:Skvorecky-PribehIng_2:0:shuff:71,cs:Skvorecky-PribehIng_2:0:shuff:78,open,open,otevřu,otevřít,pf
en:Skvorecky-PribehIng_2:0:shuff:82,cs:Skvorecky-PribehIng_2:0:shuff:90,say,say,říkám,říkat,impf
en:Skvorecky-PribehIng_2:0:shuff:87,cs:Skvorecky-PribehIng_2:0:shuff:95,said,say,říkal,říkat,impf
en:Skvorecky-PribehIng_2:0:shuff:87,cs:Skvorecky-PribehIng_2:0:shuff:95,saying,say,říkal,říkat,impf
en:Skvorecky-PribehIng_2:0:shuff:91,cs:Skvorecky-PribehIng_2:0:shuff:99,speak,speak,mluvit,mluvit,impf
en:Skvorecky-PribehIng_2:0:shuff:91,cs:Skvorecky-PribehIng_2:0:shuff:99,said,say,mluvit,mluvit,impf
en:Skvorecky-PribehIng_2:0:shuff:91,cs:Skvorecky-PribehIng_2:0:shuff:99,speak,speak,řekl,říci,pf
en:Skvorecky-PribehIng_2:0:shuff:91,cs:Skvorecky-PribehIng_2:0:shuff:99,said,say,řekl,říci,pf
en:Skvorecky-PribehIng_2:0:shuff:91,cs:Skvorecky-PribehIng_2:0:shuff:99,pointed,point,namířil,namířit,pf
en:Skvorecky-PribehIng_2:0:shuff:94,cs:Skvorecky-PribehIng_2:0:shuff:102,going,go,du,jít,impf
en:Skvorecky-PribehIng_2:0:shuff:98,cs:Skvorecky-PribehIng_2:0:shuff:106,saved,save,zachránil,zachránit,pf
en:Skvorecky-PribehIng_2:0:shuff:100,cs:Skvorecky-PribehIng_2:0:shuff:108,tell,tell,povíme,povědět,pf
en:Skvorecky-PribehIng_2:0:shuff:101,cs:Skvorecky-PribehIng_2:0:shuff:109,seem,seem,Zdá,zdát,impf
en:Skvorecky-PribehIng_2:0:shuff:101,cs:Skvorecky-PribehIng_2:0:shuff:109,hated,hate,nenáviděl,nenávidět,impf
en:Skvorecky-PribehIng_2:0:shuff:102,cs:Skvorecky-PribehIng_2:0:shuff:110,say,say,pravím,pravit,pf
en:Skvorecky-PribehIng_2:0:shuff:103,cs:Skvorecky-PribehIng_2:0:shuff:111,travel,travel,Jezdila,jezdit,impf
en:Skvorecky-PribehIng_2:0:shuff:105,cs:Skvorecky-PribehIng_2:0:shuff:113,look,look,Hledím,hledět,impf
en:Skvorecky-PribehIng_2:0:shuff:109,cs:Skvorecky-PribehIng_2:0:shuff:119,take,take,vemte,vzít,pf
en:Skvorecky-PribehIng_2:0:shuff:111,cs:Skvorecky-PribehIng_2:0:shuff:121,cover,cover,pokrývají,pokrývat,impf
en:Skvorecky-PribehIng_2:0:shuff:113,cs:Skvorecky-PribehIng_2:0:shuff:123,admitted,admit,Přiznala,přiznat,pf
en:Skvorecky-PribehIng_2:0:shuff:113,cs:Skvorecky-PribehIng_2:0:shuff:123,thought,think,myslela,myslet,impf
en:Skvorecky-PribehIng_2:0:shuff:113,cs:Skvorecky-PribehIng_2:0:shuff:123,touched,touch,dojalo,dojmout,pf
en:Skvorecky-PribehIng_2:0:shuff:113,cs:Skvorecky-PribehIng_2:0:shuff:123,told,tell,vyprávěl,vyprávět,impf
en:Skvorecky-PribehIng_2:0:shuff:113,cs:Skvorecky-PribehIng_2:0:shuff:123,came,come,přijel,přijet,pf
en:Skvorecky-PribehIng_2:0:shuff:115,cs:Skvorecky-PribehIng_2:0:shuff:126,allows,allow,připustil,připustit,pf
en:Skvorecky-PribehIng_2:0:shuff:117,cs:Skvorecky-PribehIng_2:0:shuff:128,admit,admit,přiznám,přiznat,pf
en:Skvorecky-PribehIng_2:0:shuff:119,cs:Skvorecky-PribehIng_2:0:shuff:130,discovered,discover,zjistil,zjistit,pf
en:Skvorecky-PribehIng_2:0:shuff:119,cs:Skvorecky-PribehIng_2:0:shuff:130,began,begin,začal,začít,pf
en:Skvorecky-PribehIng_2:0:shuff:120,cs:Skvorecky-PribehIng_2:0:shuff:131,dominated,dominate,vévodí,vévodit,impf
en:Skvorecky-PribehIng_2:0:shuff:122,cs:Skvorecky-PribehIng_2:0:shuff:133,killed,kill,zabila,zabít,pf
en:Skvorecky-PribehIng_2:0:shuff:122,cs:Skvorecky-PribehIng_2:0:shuff:133,eat,eat,jedla,jíst,impf
en:Skvorecky-PribehIng_2:0:shuff:129,cs:Skvorecky-PribehIng_2:0:shuff:142,Ask,ask,Zeptejte,zeptat,pf
en:Skvorecky-PribehIng_2:0:shuff:132,cs:Skvorecky-PribehIng_2:0:shuff:145,asked,ask,zeptal,zeptat,pf
en:Skvorecky-PribehIng_2:0:shuff:137,cs:Skvorecky-PribehIng_2:0:shuff:150,combined,combine,spojil,spojit,pf
en:Skvorecky-PribehIng_2:0:shuff:138,cs:Skvorecky-PribehIng_2:0:shuff:151,began,begin,začli,začít,pf
en:Skvorecky-PribehIng_2:0:shuff:148,cs:Skvorecky-PribehIng_2:0:shuff:166,jumped,jump,skočil,skočit,pf
en:Skvorecky-PribehIng_2:0:shuff:150,cs:Skvorecky-PribehIng_2:0:shuff:171,asked,ask,otázal,otázat,pf
en:Skvorecky-PribehIng_2:0:shuff:150,cs:Skvorecky-PribehIng_2:0:shuff:171,do,do,dělat,dělat,impf
en:Skvorecky-PribehIng_2:0:shuff:153,cs:Skvorecky-PribehIng_2:0:shuff:174,thought,think,Myslela,myslet,impf
en:Skvorecky-PribehIng_2:0:shuff:154,cs:Skvorecky-PribehIng_2:0:shuff:175,said,say,řekl,říci,pf
en:Skvorecky-PribehIng_2:0:shuff:155,cs:Skvorecky-PribehIng_2:0:shuff:176,saw,see,neviděl,vidět,impf
en:Skvorecky-PribehIng_2:0:shuff:167,cs:Skvorecky-PribehIng_2:0:shuff:187,lose,lose,neztratit,ztratit,pf
en:Skvorecky-PribehIng_2:0:shuff:170,cs:Skvorecky-PribehIng_2:0:shuff:190,stay,stay,zůstat,zůstat,pf
en:Skvorecky-PribehIng_2:0:shuff:173,cs:Skvorecky-PribehIng_2:0:shuff:193,went,go,vodjel,odjet,pf
en:Skvorecky-PribehIng_2:0:shuff:173,cs:Skvorecky-PribehIng_2:0:shuff:193,going,go,vodjel,odjet,pf
en:Skvorecky-PribehIng_2:0:shuff:179,cs:Skvorecky-PribehIng_2:0:shuff:199,hanged,hang,pověsili,pověsit,pf
en:Skvorecky-PribehIng_2:0:shuff:181,cs:Skvorecky-PribehIng_2:0:shuff:201,shoot,shoot,nezastřelili,zastřelit,pf
en:Skvorecky-PribehIng_2:0:shuff:185,cs:Skvorecky-PribehIng_2:0:shuff:206,coming,come,přijely,přijet,pf
en:Skvorecky-PribehIng_2:0:shuff:185,cs:Skvorecky-PribehIng_2:0:shuff:206,built,build,vybudovali,vybudovat,pf
en:Skvorecky-PribehIng_2:0:shuff:187,cs:Skvorecky-PribehIng_2:0:shuff:209,cried,cry,plakala,plakat,impf
en:Skvorecky-PribehIng_2:0:shuff:188,cs:Skvorecky-PribehIng_2:0:shuff:210,wept,weep,plakala,plakat,impf
en:Skvorecky-PribehIng_2:0:shuff:188,cs:Skvorecky-PribehIng_2:0:shuff:210,see,see,uvidí,uvidět,pf
