en:day-cirkus_v_zime:0:shuff:16,cs:day-cirkus_v_zime:0:shuff:18,realized,realize,Uvědomila,uvědomit,pf
en:day-cirkus_v_zime:0:shuff:34,cs:day-cirkus_v_zime:0:shuff:37,told,tell,Vyprávěly,vyprávět,impf
en:day-cirkus_v_zime:0:shuff:61,cs:day-cirkus_v_zime:0:shuff:65,tell,tell,Pověděla,povědět,pf
en:day-cirkus_v_zime:0:shuff:71,cs:day-cirkus_v_zime:0:shuff:76,stopped,stop,Přestalo,přestat,pf
en:day-cirkus_v_zime:0:shuff:81,cs:day-cirkus_v_zime:0:shuff:87,thought,think,Myslel,myslet,impf
en:day-cirkus_v_zime:0:shuff:89,cs:day-cirkus_v_zime:0:shuff:97,accepted,accept,Přijímala,přijímat,impf
en:day-cirkus_v_zime:0:shuff:119,cs:day-cirkus_v_zime:0:shuff:131,wanted,want,Toužila,toužit,impf
en:day-cirkus_v_zime:0:shuff:119,cs:day-cirkus_v_zime:0:shuff:131,wanted,want,Toužila,toužit,impf
en:day-cirkus_v_zime:0:shuff:224,cs:day-cirkus_v_zime:0:shuff:240,want,want,Nechci,chtít,impf
en:day-cirkus_v_zime:0:shuff:224,cs:day-cirkus_v_zime:0:shuff:240,want,want,Nechci,chtít,impf
en:day-cirkus_v_zime:0:shuff:232,cs:day-cirkus_v_zime:0:shuff:249,wanted,want,Toužila,toužit,impf
en:day-cirkus_v_zime:0:shuff:257,cs:day-cirkus_v_zime:0:shuff:273,wished,wish,Přála,přát,impf
en:day-cirkus_v_zime:0:shuff:262,cs:day-cirkus_v_zime:0:shuff:278,saw,see,Viděla,vidět,impf
en:day-cirkus_v_zime:0:shuff:278,cs:day-cirkus_v_zime:0:shuff:296,want,want,Nechtěl,chtít,impf
en:day-cirkus_v_zime:0:shuff:278,cs:day-cirkus_v_zime:0:shuff:296,want,want,Nechtěl,chtít,impf
en:day-cirkus_v_zime:0:shuff:298,cs:day-cirkus_v_zime:0:shuff:316,keep,keep,Mám,mít,impf
en:day-cirkus_v_zime:0:shuff:338,cs:day-cirkus_v_zime:0:shuff:357,undressed,undress,Svlékali,svlékat,impf
en:day-cirkus_v_zime:0:shuff:359,cs:day-cirkus_v_zime:0:shuff:378,left,leave,Nechávali,nechávat,impf
en:day-cirkus_v_zime:0:shuff:368,cs:day-cirkus_v_zime:0:shuff:388,made,make,Dělala,dělat,impf
en:day-cirkus_v_zime:0:shuff:457,cs:day-cirkus_v_zime:0:shuff:482,think,think,Myslím,myslet,impf
en:day-cirkus_v_zime:0:shuff:474,cs:day-cirkus_v_zime:0:shuff:499,got,get,Dostane,dostat,pf
en:day-cirkus_v_zime:0:shuff:483,cs:day-cirkus_v_zime:0:shuff:509,hope,hope,doufám,doufat,impf
en:day-cirkus_v_zime:0:shuff:527,cs:day-cirkus_v_zime:0:shuff:556,remembering,remember,Napadlo,napadnout,pf
en:day-cirkus_v_zime:0:shuff:551,cs:day-cirkus_v_zime:0:shuff:580,Tell,tell,Řekněte,říci,pf
en:day-cirkus_v_zime:0:shuff:562,cs:day-cirkus_v_zime:0:shuff:591,told,tell,Pověděl,povědět,pf
en:day-cirkus_v_zime:0:shuff:562,cs:day-cirkus_v_zime:0:shuff:591,said,say,Pověděl,povědět,pf
en:day-cirkus_v_zime:0:shuff:565,cs:day-cirkus_v_zime:0:shuff:594,Reaching,reach,Sáhl,sáhnout,pf
en:day-cirkus_v_zime:0:shuff:620,cs:day-cirkus_v_zime:0:shuff:652,decided,decide,Usoudila,usoudit,pf
en:day-cirkus_v_zime:0:shuff:667,cs:day-cirkus_v_zime:0:shuff:700,see,see,Nepochopil,pochopit,pf
en:day-cirkus_v_zime:0:shuff:686,cs:day-cirkus_v_zime:0:shuff:722,taking,take,Vyžadovala,vyžadovat,impf
en:day-cirkus_v_zime:0:shuff:712,cs:day-cirkus_v_zime:0:shuff:747,left,leave,Odešel,odejít,pf
en:day-cirkus_v_zime:0:shuff:742,cs:day-cirkus_v_zime:0:shuff:777,pictured,picture,Představovala,představovat,impf
en:day-cirkus_v_zime:0:shuff:758,cs:day-cirkus_v_zime:0:shuff:797,Think,think,Myslíte,myslet,impf
en:day-cirkus_v_zime:0:shuff:783,cs:day-cirkus_v_zime:0:shuff:823,hope,hope,věřím,věřit,impf
en:day-cirkus_v_zime:0:shuff:812,cs:day-cirkus_v_zime:0:shuff:853,go,go,Půjdu,jít,impf
en:day-cirkus_v_zime:0:shuff:825,cs:day-cirkus_v_zime:0:shuff:866,seen,see,Viděl,vidět,impf
en:day-cirkus_v_zime:0:shuff:848,cs:day-cirkus_v_zime:0:shuff:892,works,work,Dělá,dělat,impf
en:day-cirkus_v_zime:0:shuff:864,cs:day-cirkus_v_zime:0:shuff:909,talking,talk,Mluví,mluvit,impf
en:day-cirkus_v_zime:0:shuff:875,cs:day-cirkus_v_zime:0:shuff:921,lay,lie,Ležela,ležet,impf
