en:grisham-posledni_vule:0:shuff:3,cs:grisham-posledni_vule:0:shuff:2,repeated,repeat,opakoval,opakovat,impf
en:grisham-posledni_vule:0:shuff:5,cs:grisham-posledni_vule:0:shuff:4,take,take,trvat,trvat,impf
en:grisham-posledni_vule:0:shuff:6,cs:grisham-posledni_vule:0:shuff:5,guessing,guess,Odhaduji,odhadovat,impf
en:grisham-posledni_vule:0:shuff:10,cs:grisham-posledni_vule:0:shuff:9,want,want,chcete,chtít,impf
en:grisham-posledni_vule:0:shuff:12,cs:grisham-posledni_vule:0:shuff:11,swinging,swing,Houpá,houpat,impf
en:grisham-posledni_vule:0:shuff:17,cs:grisham-posledni_vule:0:shuff:16,wear,wear,mít,mít,impf
en:grisham-posledni_vule:0:shuff:18,cs:grisham-posledni_vule:0:shuff:17,own,own,Máte,mít,impf
en:grisham-posledni_vule:0:shuff:27,cs:grisham-posledni_vule:0:shuff:26,heard,hear,neslyšel,slyšet,impf
en:grisham-posledni_vule:0:shuff:33,cs:grisham-posledni_vule:0:shuff:32,called,call,nezavolá,zavolat,pf
en:grisham-posledni_vule:0:shuff:36,cs:grisham-posledni_vule:0:shuff:35,use,use,použít,použít,pf
en:grisham-posledni_vule:0:shuff:37,cs:grisham-posledni_vule:0:shuff:36,agreed,agree,Dohodli,dohodnout,pf
en:grisham-posledni_vule:0:shuff:37,cs:grisham-posledni_vule:0:shuff:36,call,call,zavolá,zavolat,pf
en:grisham-posledni_vule:0:shuff:38,cs:grisham-posledni_vule:0:shuff:37,use,use,použít,použít,pf
en:grisham-posledni_vule:0:shuff:39,cs:grisham-posledni_vule:0:shuff:38,Keep,keep,Udržujte,udržovat,impf
en:grisham-posledni_vule:0:shuff:40,cs:grisham-posledni_vule:0:shuff:39,said,say,říkal,říkat,impf
en:grisham-posledni_vule:0:shuff:43,cs:grisham-posledni_vule:0:shuff:42,leave,leave,opustíte,opustit,pf
en:grisham-posledni_vule:0:shuff:44,cs:grisham-posledni_vule:0:shuff:43,opened,open,otevřel,otevřít,pf
en:grisham-posledni_vule:0:shuff:44,cs:grisham-posledni_vule:0:shuff:43,examined,examine,prohlížel,prohlížet,impf
en:grisham-posledni_vule:0:shuff:46,cs:grisham-posledni_vule:0:shuff:45,do,do,dělat,dělat,impf
en:grisham-posledni_vule:0:shuff:47,cs:grisham-posledni_vule:0:shuff:46,tried,try,Pokoušel,pokoušet,impf
en:grisham-posledni_vule:0:shuff:47,cs:grisham-posledni_vule:0:shuff:46,convince,convince,přesvědčit,přesvědčit,pf
en:grisham-posledni_vule:0:shuff:48,cs:grisham-posledni_vule:0:shuff:47,written,write,nenapsal,napsat,pf
en:grisham-posledni_vule:0:shuff:48,cs:grisham-posledni_vule:0:shuff:47,planned,plan,plánoval,plánovat,impf
en:grisham-posledni_vule:0:shuff:51,cs:grisham-posledni_vule:0:shuff:51,make,make,vydělá,vydělat,pf
en:grisham-posledni_vule:0:shuff:54,cs:grisham-posledni_vule:0:shuff:54,contain,contain,obsahovat,obsahovat,impf
