en:rowlingova-hpot_vezen:0:shuff:2,cs:rowlingova-hpot_vezen:0:shuff:2,glanced,glance,pohlédl,pohlédnout,pf
en:rowlingova-hpot_vezen:0:shuff:2,cs:rowlingova-hpot_vezen:0:shuff:2,looked,look,pohlédl,pohlédnout,pf
en:rowlingova-hpot_vezen:0:shuff:2,cs:rowlingova-hpot_vezen:0:shuff:2,nodded,nod,přikývla,přikývnout,pf
en:rowlingova-hpot_vezen:0:shuff:4,cs:rowlingova-hpot_vezen:0:shuff:4,leading,lead,vedly,vést,impf
en:rowlingova-hpot_vezen:0:shuff:5,cs:rowlingova-hpot_vezen:0:shuff:5,grabbed,grab,chytila,chytit,pf
en:rowlingova-hpot_vezen:0:shuff:7,cs:rowlingova-hpot_vezen:0:shuff:7,whispered,whisper,zašeptala,zašeptat,pf
en:rowlingova-hpot_vezen:0:shuff:7,cs:rowlingova-hpot_vezen:0:shuff:7,think,think,myslím,myslet,impf
en:rowlingova-hpot_vezen:0:shuff:8,cs:rowlingova-hpot_vezen:0:shuff:8,looked,look,díval,dívat,impf
en:rowlingova-hpot_vezen:0:shuff:9,cs:rowlingova-hpot_vezen:0:shuff:9,fell,fall,padly,padnout,pf
en:rowlingova-hpot_vezen:0:shuff:11,cs:rowlingova-hpot_vezen:0:shuff:11,touched,touch,nedotkl,dotknout,pf
en:rowlingova-hpot_vezen:0:shuff:15,cs:rowlingova-hpot_vezen:0:shuff:15,left,leave,nechal,nechat,pf
en:rowlingova-hpot_vezen:0:shuff:18,cs:rowlingova-hpot_vezen:0:shuff:19,Did,do,udělala,udělat,pf
en:rowlingova-hpot_vezen:0:shuff:18,cs:rowlingova-hpot_vezen:0:shuff:19,came,come,udělala,udělat,pf
en:rowlingova-hpot_vezen:0:shuff:19,cs:rowlingova-hpot_vezen:0:shuff:20,felt,feel,Cítil,cítit,impf
en:rowlingova-hpot_vezen:0:shuff:22,cs:rowlingova-hpot_vezen:0:shuff:23,watch,watch,dívejte,dívat,impf
en:rowlingova-hpot_vezen:0:shuff:23,cs:rowlingova-hpot_vezen:0:shuff:24,managed,manage,podařilo,podařit,pf
en:rowlingova-hpot_vezen:0:shuff:24,cs:rowlingova-hpot_vezen:0:shuff:25,doubt,doubt,nepochybuji,pochybovat,impf
en:rowlingova-hpot_vezen:0:shuff:24,cs:rowlingova-hpot_vezen:0:shuff:25,poisoned,poison,otráví,otrávit,pf
en:rowlingova-hpot_vezen:0:shuff:28,cs:rowlingova-hpot_vezen:0:shuff:29,shouting,shout,křičela,křičet,impf
en:rowlingova-hpot_vezen:0:shuff:31,cs:rowlingova-hpot_vezen:0:shuff:32,speaking,speak,promluvím,promluvit,pf
en:rowlingova-hpot_vezen:0:shuff:32,cs:rowlingova-hpot_vezen:0:shuff:33,comes,come,přichází,přicházet,impf
en:rowlingova-hpot_vezen:0:shuff:34,cs:rowlingova-hpot_vezen:0:shuff:35,scored,score,zaznamenali,zaznamenat,pf
en:rowlingova-hpot_vezen:0:shuff:34,cs:rowlingova-hpot_vezen:0:shuff:35,win,win,zvítězil,zvítězit,pf
en:rowlingova-hpot_vezen:0:shuff:36,cs:rowlingova-hpot_vezen:0:shuff:38,accelerated,accelerate,zrychlil,zrychlit,pf
en:rowlingova-hpot_vezen:0:shuff:36,cs:rowlingova-hpot_vezen:0:shuff:38,appeared,appear,objevila,objevit,pf
en:rowlingova-hpot_vezen:0:shuff:36,cs:rowlingova-hpot_vezen:0:shuff:38,blocking,block,zablokovala,zablokovat,pf
en:rowlingova-hpot_vezen:0:shuff:37,cs:rowlingova-hpot_vezen:0:shuff:39,saw,see,viděl,vidět,impf
en:rowlingova-hpot_vezen:0:shuff:37,cs:rowlingova-hpot_vezen:0:shuff:39,lying,lie,leží,ležet,impf
en:rowlingova-hpot_vezen:0:shuff:38,cs:rowlingova-hpot_vezen:0:shuff:40,looking,look,díval,dívat,impf
en:rowlingova-hpot_vezen:0:shuff:40,cs:rowlingova-hpot_vezen:0:shuff:42,ripped,rip,roztrhl,roztrhnout,pf
en:rowlingova-hpot_vezen:0:shuff:41,cs:rowlingova-hpot_vezen:0:shuff:43,dropped,drop,upustil,upustit,pf
en:rowlingova-hpot_vezen:0:shuff:43,cs:rowlingova-hpot_vezen:0:shuff:45,seen,see,Viděli,vidět,impf
en:rowlingova-hpot_vezen:0:shuff:44,cs:rowlingova-hpot_vezen:0:shuff:46,think,think,myslíš,myslet,impf
en:rowlingova-hpot_vezen:0:shuff:44,cs:rowlingova-hpot_vezen:0:shuff:46,do,do,udělal,udělat,pf
en:rowlingova-hpot_vezen:0:shuff:44,cs:rowlingova-hpot_vezen:0:shuff:46,do,do,udělal,udělat,pf
en:rowlingova-hpot_vezen:0:shuff:44,cs:rowlingova-hpot_vezen:0:shuff:46,saw,see,uviděl,uvidět,pf
en:rowlingova-hpot_vezen:0:shuff:45,cs:rowlingova-hpot_vezen:0:shuff:47,think,think,myslel,myslet,impf
en:rowlingova-hpot_vezen:0:shuff:45,cs:rowlingova-hpot_vezen:0:shuff:47,think,think,myslel,myslet,impf
en:rowlingova-hpot_vezen:0:shuff:47,cs:rowlingova-hpot_vezen:0:shuff:49,understand,understand,nechápal,chápat,impf
en:rowlingova-hpot_vezen:0:shuff:47,cs:rowlingova-hpot_vezen:0:shuff:49,attack,attack,zaútočil,zaútočit,pf
en:rowlingova-hpot_vezen:0:shuff:52,cs:rowlingova-hpot_vezen:0:shuff:55,sitting,sit,Seděl,sedět,impf
en:rowlingova-hpot_vezen:0:shuff:53,cs:rowlingova-hpot_vezen:0:shuff:56,checked,check,zarazili,zarazit,pf
en:rowlingova-hpot_vezen:0:shuff:54,cs:rowlingova-hpot_vezen:0:shuff:57,send,send,posílat,posílat,impf
en:rowlingova-hpot_vezen:0:shuff:55,cs:rowlingova-hpot_vezen:0:shuff:58,buy,buy,kupuje,kupovat,impf
en:rowlingova-hpot_vezen:0:shuff:58,cs:rowlingova-hpot_vezen:0:shuff:61,revealed,reveal,objevila,objevit,pf
en:rowlingova-hpot_vezen:0:shuff:62,cs:rowlingova-hpot_vezen:0:shuff:65,reached,reach,došli,dojít,pf
en:rowlingova-hpot_vezen:0:shuff:62,cs:rowlingova-hpot_vezen:0:shuff:65,found,find,zjistili,zjistit,pf
en:rowlingova-hpot_vezen:0:shuff:66,cs:rowlingova-hpot_vezen:0:shuff:70,said,say,odpověděl,odpovědět,pf
en:rowlingova-hpot_vezen:0:shuff:67,cs:rowlingova-hpot_vezen:0:shuff:71,admit,admit,vpustil,vpustit,pf
en:rowlingova-hpot_vezen:0:shuff:72,cs:rowlingova-hpot_vezen:0:shuff:75,insult,insult,neurážejte,urážet,impf
en:rowlingova-hpot_vezen:0:shuff:72,cs:rowlingova-hpot_vezen:0:shuff:75,Do,do,uděláte,udělat,pf
en:rowlingova-hpot_vezen:0:shuff:72,cs:rowlingova-hpot_vezen:0:shuff:75,cause,cause,uděláte,udělat,pf
en:rowlingova-hpot_vezen:0:shuff:72,cs:rowlingova-hpot_vezen:0:shuff:75,do,do,uděláte,udělat,pf
en:rowlingova-hpot_vezen:0:shuff:73,cs:rowlingova-hpot_vezen:0:shuff:76,listening,listen,neposlouchali,poslouchat,impf
en:rowlingova-hpot_vezen:0:shuff:74,cs:rowlingova-hpot_vezen:0:shuff:77,disrupt,disrupt,narušit,narušit,pf
en:rowlingova-hpot_vezen:0:shuff:77,cs:rowlingova-hpot_vezen:0:shuff:81,forced,force,přinutil,přinutit,pf
en:rowlingova-hpot_vezen:0:shuff:83,cs:rowlingova-hpot_vezen:0:shuff:87,see,see,viděl,vidět,impf
en:rowlingova-hpot_vezen:0:shuff:88,cs:rowlingova-hpot_vezen:0:shuff:91,need,need,Potřebuju,potřebovat,impf
en:rowlingova-hpot_vezen:0:shuff:88,cs:rowlingova-hpot_vezen:0:shuff:91,tell,tell,řekl,říci,pf
en:rowlingova-hpot_vezen:0:shuff:88,cs:rowlingova-hpot_vezen:0:shuff:91,see,see,vidíš,vidět,impf
en:rowlingova-hpot_vezen:0:shuff:89,cs:rowlingova-hpot_vezen:0:shuff:92,muttered,mutter,zamumlal,zamumlat,pf
en:rowlingova-hpot_vezen:0:shuff:93,cs:rowlingova-hpot_vezen:0:shuff:96,vanished,vanish,zmizeli,zmizet,pf
en:rowlingova-hpot_vezen:0:shuff:95,cs:rowlingova-hpot_vezen:0:shuff:98,forgotten,forget,zapomenout,zapomenout,pf
en:rowlingova-hpot_vezen:0:shuff:96,cs:rowlingova-hpot_vezen:0:shuff:99,spread,spread,šířil,šířit,impf
en:rowlingova-hpot_vezen:0:shuff:101,cs:rowlingova-hpot_vezen:0:shuff:104,reached,reach,dorazil,dorazit,pf
en:rowlingova-hpot_vezen:0:shuff:102,cs:rowlingova-hpot_vezen:0:shuff:105,opened,open,začaly,začít,pf
