en:Kundera-Nesmrtelnost:0:shuff:2,cs:Kundera-Nesmrtelnost:0:shuff:2,calls,call,nazývá,nazývat,impf
en:Kundera-Nesmrtelnost:0:shuff:3,cs:Kundera-Nesmrtelnost:0:shuff:3,changes,change,mění,měnit,impf
en:Kundera-Nesmrtelnost:0:shuff:3,cs:Kundera-Nesmrtelnost:0:shuff:3,remains,remain,zůstává,zůstávat,impf
en:Kundera-Nesmrtelnost:0:shuff:4,cs:Kundera-Nesmrtelnost:0:shuff:4,plays,play,zahraje,zahrát,pf
en:Kundera-Nesmrtelnost:0:shuff:5,cs:Kundera-Nesmrtelnost:0:shuff:5,feels,feel,pocítí,pocítit,pf
en:Kundera-Nesmrtelnost:0:shuff:5,cs:Kundera-Nesmrtelnost:0:shuff:5,expanding,expand,šíří,šířit,impf
en:Kundera-Nesmrtelnost:0:shuff:5,cs:Kundera-Nesmrtelnost:0:shuff:5,says,say,řekne,říci,pf
en:Kundera-Nesmrtelnost:0:shuff:7,cs:Kundera-Nesmrtelnost:0:shuff:7,hears,hear,slyší,slyšet,impf
en:Kundera-Nesmrtelnost:0:shuff:7,cs:Kundera-Nesmrtelnost:0:shuff:7,contain,contain,obsahovat,obsahovat,impf
en:Kundera-Nesmrtelnost:0:shuff:9,cs:Kundera-Nesmrtelnost:0:shuff:9,finds,find,nenachází,nacházet,impf
en:Kundera-Nesmrtelnost:0:shuff:9,cs:Kundera-Nesmrtelnost:0:shuff:9,circling,circle,krouží,kroužit,impf
en:Kundera-Nesmrtelnost:0:shuff:15,cs:Kundera-Nesmrtelnost:0:shuff:16,departed,depart,Odešel,odejít,pf
en:Kundera-Nesmrtelnost:0:shuff:17,cs:Kundera-Nesmrtelnost:0:shuff:18,designate,designate,označují,označovat,impf
en:Kundera-Nesmrtelnost:0:shuff:17,cs:Kundera-Nesmrtelnost:0:shuff:18,spoken,speak,řekl,říci,pf
en:Kundera-Nesmrtelnost:0:shuff:20,cs:Kundera-Nesmrtelnost:0:shuff:22,died,die,Zemřela,zemřít,pf
en:Kundera-Nesmrtelnost:0:shuff:21,cs:Kundera-Nesmrtelnost:0:shuff:23,separated,separate,dělila,dělit,impf
en:Kundera-Nesmrtelnost:0:shuff:22,cs:Kundera-Nesmrtelnost:0:shuff:24,missed,miss,Minul,minout,pf
