en:mulisch-atentat:0:shuff:1,cs:mulisch-atentat:0:shuff:1,laid,lay,položila,položit,pf
en:mulisch-atentat:0:shuff:6,cs:mulisch-atentat:0:shuff:5,said,say,řekla,říci,pf
en:mulisch-atentat:0:shuff:14,cs:mulisch-atentat:0:shuff:15,talk,talk,mluvit,mluvit,impf
en:mulisch-atentat:0:shuff:16,cs:mulisch-atentat:0:shuff:17,mentioned,mention,nezmínil,zmínit,pf
en:mulisch-atentat:0:shuff:19,cs:mulisch-atentat:0:shuff:19,said,say,řekl,říci,pf
en:mulisch-atentat:0:shuff:20,cs:mulisch-atentat:0:shuff:20,hanging,hang,visela,viset,impf
en:mulisch-atentat:0:shuff:26,cs:mulisch-atentat:0:shuff:26,stirred,stir,nehýbalo,hýbat,impf
en:mulisch-atentat:0:shuff:31,cs:mulisch-atentat:0:shuff:32,lay,lie,leželo,ležet,impf
en:mulisch-atentat:0:shuff:40,cs:mulisch-atentat:0:shuff:41,hear,hear,slyšet,slyšet,impf
en:mulisch-atentat:0:shuff:46,cs:mulisch-atentat:0:shuff:45,bore,bear,nesl,nést,impf
en:mulisch-atentat:0:shuff:51,cs:mulisch-atentat:0:shuff:53,remembered,remember,vzpomněl,vzpomenout,pf
en:mulisch-atentat:0:shuff:51,cs:mulisch-atentat:0:shuff:53,slipped,slip,strčil,strčit,pf
en:mulisch-atentat:0:shuff:56,cs:mulisch-atentat:0:shuff:57,got,get,přijdou,přijít,pf
en:mulisch-atentat:0:shuff:56,cs:mulisch-atentat:0:shuff:57,get,get,přijdou,přijít,pf
en:mulisch-atentat:0:shuff:56,cs:mulisch-atentat:0:shuff:57,come,come,přijdou,přijít,pf
en:mulisch-atentat:0:shuff:57,cs:mulisch-atentat:0:shuff:58,said,say,řekla,říci,pf
en:mulisch-atentat:0:shuff:59,cs:mulisch-atentat:0:shuff:60,lying,lie,leží,ležet,impf
en:mulisch-atentat:0:shuff:60,cs:mulisch-atentat:0:shuff:61,suppose,suppose,myslíte,myslet,impf
en:mulisch-atentat:0:shuff:60,cs:mulisch-atentat:0:shuff:61,do,do,udělali,udělat,pf
en:mulisch-atentat:0:shuff:60,cs:mulisch-atentat:0:shuff:61,did,do,udělali,udělat,pf
en:mulisch-atentat:0:shuff:64,cs:mulisch-atentat:0:shuff:64,talk,talk,mluvit,mluvit,impf
en:mulisch-atentat:0:shuff:66,cs:mulisch-atentat:0:shuff:66,want,want,Chce,chtít,impf
en:mulisch-atentat:0:shuff:66,cs:mulisch-atentat:0:shuff:66,sleep,sleep,spát,spát,impf
en:mulisch-atentat:0:shuff:72,cs:mulisch-atentat:0:shuff:71,imagine,imagine,Představ,představit,pf
en:mulisch-atentat:0:shuff:77,cs:mulisch-atentat:0:shuff:76,Come,come,Pojď,jít,impf
en:mulisch-atentat:0:shuff:77,cs:mulisch-atentat:0:shuff:76,sit,sit,sednout,sednout,pf
en:mulisch-atentat:0:shuff:78,cs:mulisch-atentat:0:shuff:77,changed,change,Vyměnili,vyměnit,pf
en:mulisch-atentat:0:shuff:80,cs:mulisch-atentat:0:shuff:79,changed,change,nezměnil,změnit,pf
en:mulisch-atentat:0:shuff:81,cs:mulisch-atentat:0:shuff:80,told,tell,Říká,říkat,impf
en:mulisch-atentat:0:shuff:82,cs:mulisch-atentat:0:shuff:81,recognized,recognize,poznal,poznat,pf
en:mulisch-atentat:0:shuff:83,cs:mulisch-atentat:0:shuff:82,took,take,trvalo,trvat,impf
en:mulisch-atentat:0:shuff:83,cs:mulisch-atentat:0:shuff:82,said,say,řekl,říci,pf
en:mulisch-atentat:0:shuff:85,cs:mulisch-atentat:0:shuff:84,pulled,pull,vytáhl,vytáhnout,pf
en:mulisch-atentat:0:shuff:85,cs:mulisch-atentat:0:shuff:84,began,begin,začal,začít,pf
en:mulisch-atentat:0:shuff:87,cs:mulisch-atentat:0:shuff:86,said,say,řekl,říci,pf
en:mulisch-atentat:0:shuff:87,cs:mulisch-atentat:0:shuff:86,returned,return,vrátil,vrátit,pf
en:mulisch-atentat:0:shuff:88,cs:mulisch-atentat:0:shuff:87,go,go,Jedeš,jet,impf
en:mulisch-atentat:0:shuff:94,cs:mulisch-atentat:0:shuff:91,said,say,neřekl,říci,pf
en:mulisch-atentat:0:shuff:95,cs:mulisch-atentat:0:shuff:92,walked,walk,Kráčeli,kráčet,impf
en:mulisch-atentat:0:shuff:97,cs:mulisch-atentat:0:shuff:94,said,say,řekla,říci,pf
en:mulisch-atentat:0:shuff:97,cs:mulisch-atentat:0:shuff:94,expected,expect,čekala,čekat,impf
en:mulisch-atentat:0:shuff:98,cs:mulisch-atentat:0:shuff:95,think,think,myslíš,myslet,impf
en:mulisch-atentat:0:shuff:107,cs:mulisch-atentat:0:shuff:105,said,say,řekl,říci,pf
en:mulisch-atentat:0:shuff:110,cs:mulisch-atentat:0:shuff:108,lived,live,bydleli,bydlet,impf
en:mulisch-atentat:0:shuff:112,cs:mulisch-atentat:0:shuff:110,go,go,chodím,chodit,impf
en:mulisch-atentat:0:shuff:113,cs:mulisch-atentat:0:shuff:111,did,do,udělal,udělat,pf
en:mulisch-atentat:0:shuff:114,cs:mulisch-atentat:0:shuff:112,cried,cry,křičel,křičet,impf
en:mulisch-atentat:0:shuff:122,cs:mulisch-atentat:0:shuff:118,do,do,Pojď,jít,impf
en:mulisch-atentat:0:shuff:122,cs:mulisch-atentat:0:shuff:118,come,come,Pojď,jít,impf
en:mulisch-atentat:0:shuff:122,cs:mulisch-atentat:0:shuff:118,sit,sit,sednout,sednout,pf
en:mulisch-atentat:0:shuff:122,cs:mulisch-atentat:0:shuff:118,do,do,vzal,vzít,pf
en:mulisch-atentat:0:shuff:122,cs:mulisch-atentat:0:shuff:118,taking,take,vzal,vzít,pf
en:mulisch-atentat:0:shuff:123,cs:mulisch-atentat:0:shuff:119,began,begin,začal,začít,pf
en:mulisch-atentat:0:shuff:126,cs:mulisch-atentat:0:shuff:122,ran,run,vedly,vést,impf
en:mulisch-atentat:0:shuff:134,cs:mulisch-atentat:0:shuff:127,began,begin,Začal,začít,pf
en:mulisch-atentat:0:shuff:139,cs:mulisch-atentat:0:shuff:133,remained,remain,zůstal,zůstat,pf
en:mulisch-atentat:0:shuff:141,cs:mulisch-atentat:0:shuff:135,realized,realize,pochopil,pochopit,pf
en:mulisch-atentat:0:shuff:146,cs:mulisch-atentat:0:shuff:140,took,take,vzal,vzít,pf
en:mulisch-atentat:0:shuff:149,cs:mulisch-atentat:0:shuff:145,remained,remain,zůstalo,zůstat,pf
en:mulisch-atentat:0:shuff:151,cs:mulisch-atentat:0:shuff:147,found,find,nenašly,najít,pf
en:mulisch-atentat:0:shuff:153,cs:mulisch-atentat:0:shuff:149,leaned,lean,naklonil,naklonit,pf
en:mulisch-atentat:0:shuff:153,cs:mulisch-atentat:0:shuff:149,said,say,řekl,říci,pf
en:mulisch-atentat:0:shuff:159,cs:mulisch-atentat:0:shuff:154,opened,open,otevřel,otevřít,pf
en:mulisch-atentat:0:shuff:160,cs:mulisch-atentat:0:shuff:155,questioned,question,Vyslýchali,vyslýchat,impf
en:mulisch-atentat:0:shuff:161,cs:mulisch-atentat:0:shuff:156,remember,remember,nepamatuješ,pamatovat,impf
en:mulisch-atentat:0:shuff:166,cs:mulisch-atentat:0:shuff:162,living,live,bydlí,bydlet,impf
en:mulisch-atentat:0:shuff:168,cs:mulisch-atentat:0:shuff:164,remembered,remember,vzpomínal,vzpomínat,impf
en:mulisch-atentat:0:shuff:171,cs:mulisch-atentat:0:shuff:168,staring,stare,zírala,zírat,impf
en:mulisch-atentat:0:shuff:171,cs:mulisch-atentat:0:shuff:168,pushing,push,tlačila,tlačit,impf
en:mulisch-atentat:0:shuff:177,cs:mulisch-atentat:0:shuff:174,sat,sit,seděli,sedět,impf
en:mulisch-atentat:0:shuff:179,cs:mulisch-atentat:0:shuff:176,thought,think,nepomyslel,pomyslet,pf
en:mulisch-atentat:0:shuff:179,cs:mulisch-atentat:0:shuff:176,thought,think,zdálo,zdát,impf
en:mulisch-atentat:0:shuff:180,cs:mulisch-atentat:0:shuff:177,do,do,dělat,dělat,impf
en:mulisch-atentat:0:shuff:180,cs:mulisch-atentat:0:shuff:177,please,please,chce,chtít,impf
en:mulisch-atentat:0:shuff:181,cs:mulisch-atentat:0:shuff:178,felt,feel,Cítil,cítit,impf
en:mulisch-atentat:0:shuff:182,cs:mulisch-atentat:0:shuff:179,began,begin,začala,začít,pf
en:mulisch-atentat:0:shuff:186,cs:mulisch-atentat:0:shuff:182,whispered,whisper,šeptal,šeptat,impf
en:mulisch-atentat:0:shuff:192,cs:mulisch-atentat:0:shuff:189,crossed,cross,Přešel,přejít,pf
en:mulisch-atentat:0:shuff:197,cs:mulisch-atentat:0:shuff:194,fetched,fetch,přinesl,přinést,pf
en:mulisch-atentat:0:shuff:197,cs:mulisch-atentat:0:shuff:194,wash,wash,umýt,umýt,pf
en:mulisch-atentat:0:shuff:198,cs:mulisch-atentat:0:shuff:195,see,see,vidět,vidět,impf
en:mulisch-atentat:0:shuff:201,cs:mulisch-atentat:0:shuff:198,hesitated,hesitate,zaváhal,zaváhat,pf
en:mulisch-atentat:0:shuff:208,cs:mulisch-atentat:0:shuff:202,see,see,vidíš,vidět,impf
en:mulisch-atentat:0:shuff:210,cs:mulisch-atentat:0:shuff:204,felt,feel,cítil,cítit,impf
en:mulisch-atentat:0:shuff:211,cs:mulisch-atentat:0:shuff:205,say,say,vyslovit,vyslovit,pf
en:mulisch-atentat:0:shuff:212,cs:mulisch-atentat:0:shuff:206,did,do,Neudělal,udělat,pf
en:mulisch-atentat:0:shuff:221,cs:mulisch-atentat:0:shuff:213,wanted,want,chtěl,chtít,impf
en:mulisch-atentat:0:shuff:225,cs:mulisch-atentat:0:shuff:217,Come,come,Pojď,jít,impf
en:mulisch-atentat:0:shuff:225,cs:mulisch-atentat:0:shuff:217,sit,sit,sednout,sednout,pf
en:mulisch-atentat:0:shuff:230,cs:mulisch-atentat:0:shuff:221,saw,see,viděl,vidět,impf
en:mulisch-atentat:0:shuff:233,cs:mulisch-atentat:0:shuff:225,want,want,Chceš,chtít,impf
en:mulisch-atentat:0:shuff:233,cs:mulisch-atentat:0:shuff:225,want,want,Chceš,chtít,impf
en:mulisch-atentat:0:shuff:233,cs:mulisch-atentat:0:shuff:225,tell,tell,povědět,povědět,pf
en:mulisch-atentat:0:shuff:233,cs:mulisch-atentat:0:shuff:225,want,want,chci,chtít,impf
en:mulisch-atentat:0:shuff:233,cs:mulisch-atentat:0:shuff:225,want,want,chci,chtít,impf
en:mulisch-atentat:0:shuff:235,cs:mulisch-atentat:0:shuff:227,asked,ask,zeptala,zeptat,pf
en:mulisch-atentat:0:shuff:237,cs:mulisch-atentat:0:shuff:229,said,say,řekl,říci,pf
en:mulisch-atentat:0:shuff:238,cs:mulisch-atentat:0:shuff:230,throwing,throw,nevyhodíš,vyhodit,pf
en:mulisch-atentat:0:shuff:241,cs:mulisch-atentat:0:shuff:233,reached,reach,dojeli,dojet,pf
en:mulisch-atentat:0:shuff:243,cs:mulisch-atentat:0:shuff:235,turned,turn,odvrátil,odvrátit,pf
en:mulisch-atentat:0:shuff:247,cs:mulisch-atentat:0:shuff:238,see,see,Uvidíš,uvidět,pf
en:mulisch-atentat:0:shuff:248,cs:mulisch-atentat:0:shuff:239,piled,pile,složil,složit,pf
en:mulisch-atentat:0:shuff:248,cs:mulisch-atentat:0:shuff:239,said,say,řekl,říci,pf
en:mulisch-atentat:0:shuff:249,cs:mulisch-atentat:0:shuff:240,laughs,laugh,nesmál,smát,impf
en:mulisch-atentat:0:shuff:250,cs:mulisch-atentat:0:shuff:241,picked,pick,vzal,vzít,pf
en:mulisch-atentat:0:shuff:250,cs:mulisch-atentat:0:shuff:241,tried,try,pokusil,pokusit,pf
en:mulisch-atentat:0:shuff:250,cs:mulisch-atentat:0:shuff:241,read,read,číst,číst,impf
en:mulisch-atentat:0:shuff:254,cs:mulisch-atentat:0:shuff:244,spent,spend,věnoval,věnovat,impf
en:mulisch-atentat:0:shuff:255,cs:mulisch-atentat:0:shuff:245,resist,resist,neodolal,odolat,pf
en:mulisch-atentat:0:shuff:256,cs:mulisch-atentat:0:shuff:246,found,find,našel,najít,pf
en:mulisch-atentat:0:shuff:257,cs:mulisch-atentat:0:shuff:247,believe,believe,věřit,věřit,impf
en:mulisch-atentat:0:shuff:259,cs:mulisch-atentat:0:shuff:249,told,tell,povědět,povědět,pf
en:mulisch-atentat:0:shuff:259,cs:mulisch-atentat:0:shuff:249,asked,ask,neptal,ptát,impf
en:mulisch-atentat:0:shuff:260,cs:mulisch-atentat:0:shuff:250,lying,lie,ležel,ležet,impf
en:mulisch-atentat:0:shuff:263,cs:mulisch-atentat:0:shuff:253,nodded,nod,Přikývla,přikývnout,pf
en:mulisch-atentat:0:shuff:264,cs:mulisch-atentat:0:shuff:254,thought,think,myslela,myslet,impf
en:mulisch-atentat:0:shuff:264,cs:mulisch-atentat:0:shuff:254,wanted,want,chce,chtít,impf
en:mulisch-atentat:0:shuff:264,cs:mulisch-atentat:0:shuff:254,wanted,want,nechtěl,chtít,impf
en:mulisch-atentat:0:shuff:271,cs:mulisch-atentat:0:shuff:264,repeated,repeat,opakoval,opakovat,impf
en:mulisch-atentat:0:shuff:273,cs:mulisch-atentat:0:shuff:266,wore,wear,Nosil,nosit,impf
en:mulisch-atentat:0:shuff:276,cs:mulisch-atentat:0:shuff:269,walked,walk,kráčel,kráčet,impf
en:mulisch-atentat:0:shuff:276,cs:mulisch-atentat:0:shuff:269,sat,sit,seděl,sedět,impf
en:mulisch-atentat:0:shuff:276,cs:mulisch-atentat:0:shuff:269,looked,look,díval,dívat,impf
en:mulisch-atentat:0:shuff:279,cs:mulisch-atentat:0:shuff:271,see,see,viděl,vidět,impf
en:mulisch-atentat:0:shuff:279,cs:mulisch-atentat:0:shuff:271,sitting,sit,sedět,sedět,impf
en:mulisch-atentat:0:shuff:279,cs:mulisch-atentat:0:shuff:271,see,see,viděl,vidět,impf
en:mulisch-atentat:0:shuff:279,cs:mulisch-atentat:0:shuff:271,falling,fall,padaly,padat,impf
