en:munro-utek:0:shuff:1,cs:munro-utek:0:shuff:1,missed,miss,vynechala,vynechat,pf
en:munro-utek:0:shuff:3,cs:munro-utek:0:shuff:3,promised,promise,slíbili,slíbit,pf
en:munro-utek:0:shuff:4,cs:munro-utek:0:shuff:4,said,say,řekla,říci,pf
en:munro-utek:0:shuff:5,cs:munro-utek:0:shuff:5,die,die,Umřu,umřít,pf
en:munro-utek:0:shuff:6,cs:munro-utek:0:shuff:6,looked,look,Podívala,podívat,pf
en:munro-utek:0:shuff:6,cs:munro-utek:0:shuff:6,playing,play,hráli,hrát,impf
en:munro-utek:0:shuff:7,cs:munro-utek:0:shuff:7,help,help,pomoct,pomoci,pf
en:munro-utek:0:shuff:9,cs:munro-utek:0:shuff:9,feel,feel,Cítíte,cítit,impf
en:munro-utek:0:shuff:10,cs:munro-utek:0:shuff:10,feel,feel,cítíte,cítit,impf
en:munro-utek:0:shuff:16,cs:munro-utek:0:shuff:16,slowed,slow,Zpomalil,zpomalit,pf
en:munro-utek:0:shuff:16,cs:munro-utek:0:shuff:16,required,require,vyžadovala,vyžadovat,impf
en:munro-utek:0:shuff:19,cs:munro-utek:0:shuff:19,dragged,drag,vláčím,vláčet,impf
en:munro-utek:0:shuff:21,cs:munro-utek:0:shuff:21,need,need,Potřebuju,potřebovat,impf
en:munro-utek:0:shuff:24,cs:munro-utek:0:shuff:24,hurt,hurt,bolet,bolet,impf
en:munro-utek:0:shuff:30,cs:munro-utek:0:shuff:31,shot,shoot,vystřelovala,vystřelovat,impf
en:munro-utek:0:shuff:31,cs:munro-utek:0:shuff:32,brought,bring,přinesla,přinést,pf
en:munro-utek:0:shuff:32,cs:munro-utek:0:shuff:33,make,make,udělat,udělat,pf
en:munro-utek:0:shuff:40,cs:munro-utek:0:shuff:43,Talking,talk,vyprávěla,vyprávět,impf
en:munro-utek:0:shuff:40,cs:munro-utek:0:shuff:43,listening,listen,poslouchala,poslouchat,impf
en:munro-utek:0:shuff:43,cs:munro-utek:0:shuff:47,went,go,šla,jít,impf
en:munro-utek:0:shuff:43,cs:munro-utek:0:shuff:47,phoned,phone,zavolala,zavolat,pf
en:munro-utek:0:shuff:44,cs:munro-utek:0:shuff:48,leave,leave,nechá,nechat,pf
en:munro-utek:0:shuff:44,cs:munro-utek:0:shuff:48,ring,ring,zazvoní,zazvonit,pf
en:munro-utek:0:shuff:45,cs:munro-utek:0:shuff:49,take,take,vzít,vzít,pf
en:munro-utek:0:shuff:48,cs:munro-utek:0:shuff:51,laughed,laugh,zasmála,zasmát,pf
en:munro-utek:0:shuff:49,cs:munro-utek:0:shuff:52,called,call,neříká,říkat,impf
