en:larsson-muzi:0:shuff:1,cs:larsson-muzi:0:shuff:1,killing,kill,zabíjel,zabíjet,impf
en:larsson-muzi:0:shuff:8,cs:larsson-muzi:0:shuff:7,took,take,vzal,vzít,pf
en:larsson-muzi:0:shuff:8,cs:larsson-muzi:0:shuff:7,tried,try,pokoušel,pokoušet,impf
en:larsson-muzi:0:shuff:15,cs:larsson-muzi:0:shuff:12,found,find,našla,najít,pf
en:larsson-muzi:0:shuff:16,cs:larsson-muzi:0:shuff:13,began,begin,začal,začít,pf
en:larsson-muzi:0:shuff:17,cs:larsson-muzi:0:shuff:14,related,relate,souvisejí,souviset,impf
en:larsson-muzi:0:shuff:18,cs:larsson-muzi:0:shuff:15,loved,love,milovala,milovat,impf
en:larsson-muzi:0:shuff:20,cs:larsson-muzi:0:shuff:17,slept,sleep,spal,spát,impf
en:larsson-muzi:0:shuff:20,cs:larsson-muzi:0:shuff:17,examine,examine,prozkoumat,prozkoumat,pf
en:larsson-muzi:0:shuff:21,cs:larsson-muzi:0:shuff:18,found,find,našla,najít,pf
en:larsson-muzi:0:shuff:23,cs:larsson-muzi:0:shuff:20,find,find,Objevila,objevit,pf
en:larsson-muzi:0:shuff:24,cs:larsson-muzi:0:shuff:21,found,find,našla,najít,pf
en:larsson-muzi:0:shuff:25,cs:larsson-muzi:0:shuff:22,meant,mean,znamená,znamenat,impf
en:larsson-muzi:0:shuff:25,cs:larsson-muzi:0:shuff:22,walk,walk,jít,jít,impf
en:larsson-muzi:0:shuff:26,cs:larsson-muzi:0:shuff:23,decided,decide,rozhodla,rozhodnout,pf
en:larsson-muzi:0:shuff:27,cs:larsson-muzi:0:shuff:24,turned,turn,zapnula,zapnout,pf
en:larsson-muzi:0:shuff:29,cs:larsson-muzi:0:shuff:26,tried,try,pokoušel,pokoušet,impf
en:larsson-muzi:0:shuff:34,cs:larsson-muzi:0:shuff:32,attract,attract,přitahovat,přitahovat,impf
en:larsson-muzi:0:shuff:37,cs:larsson-muzi:0:shuff:35,written,write,zapsala,zapsat,pf
en:larsson-muzi:0:shuff:41,cs:larsson-muzi:0:shuff:40,transformed,transform,změnil,změnit,pf
en:larsson-muzi:0:shuff:42,cs:larsson-muzi:0:shuff:41,worked,work,pracoval,pracovat,impf
en:larsson-muzi:0:shuff:45,cs:larsson-muzi:0:shuff:44,go,go,pokračoval,pokračovat,impf
en:larsson-muzi:0:shuff:45,cs:larsson-muzi:0:shuff:44,working,work,zabýval,zabývat,impf
en:larsson-muzi:0:shuff:45,cs:larsson-muzi:0:shuff:44,read,read,přečetl,přečíst,pf
en:larsson-muzi:0:shuff:45,cs:larsson-muzi:0:shuff:44,writing,write,napsal,napsat,pf
en:larsson-muzi:0:shuff:47,cs:larsson-muzi:0:shuff:47,call,call,Zavolám,zavolat,pf
en:larsson-muzi:0:shuff:47,cs:larsson-muzi:0:shuff:47,ask,ask,zeptám,zeptat,pf
en:larsson-muzi:0:shuff:48,cs:larsson-muzi:0:shuff:48,looking,look,hledat,hledat,impf
en:larsson-muzi:0:shuff:50,cs:larsson-muzi:0:shuff:50,want,want,Chtěl,chtít,impf
en:larsson-muzi:0:shuff:50,cs:larsson-muzi:0:shuff:50,read,read,přečetla,přečíst,pf
en:larsson-muzi:0:shuff:50,cs:larsson-muzi:0:shuff:50,committed,commit,spáchány,spáchat,pf
en:larsson-muzi:0:shuff:53,cs:larsson-muzi:0:shuff:52,thought,think,myslel,myslet,impf
en:larsson-muzi:0:shuff:55,cs:larsson-muzi:0:shuff:54,download,download,stáhnu,stáhnout,pf
en:larsson-muzi:0:shuff:56,cs:larsson-muzi:0:shuff:55,need,need,muset,muset,impf
en:larsson-muzi:0:shuff:56,cs:larsson-muzi:0:shuff:55,said,say,řekl,říci,pf
en:larsson-muzi:0:shuff:56,cs:larsson-muzi:0:shuff:55,went,go,odešel,odejít,pf
en:larsson-muzi:0:shuff:60,cs:larsson-muzi:0:shuff:59,wearing,wear,měla,mít,impf
en:larsson-muzi:0:shuff:60,cs:larsson-muzi:0:shuff:59,using,use,spotřebovala,spotřebovat,pf
en:larsson-muzi:0:shuff:65,cs:larsson-muzi:0:shuff:64,set,set,položila,položit,pf
en:larsson-muzi:0:shuff:67,cs:larsson-muzi:0:shuff:66,do,do,uděláme,udělat,pf
en:larsson-muzi:0:shuff:67,cs:larsson-muzi:0:shuff:66,do,do,uděláme,udělat,pf
en:larsson-muzi:0:shuff:71,cs:larsson-muzi:0:shuff:72,mean,mean,Chceš,chtít,impf
en:larsson-muzi:0:shuff:74,cs:larsson-muzi:0:shuff:75,trust,trust,Věříš,věřit,impf
en:larsson-muzi:0:shuff:75,cs:larsson-muzi:0:shuff:76,call,call,zavolej,zavolat,pf
en:larsson-muzi:0:shuff:75,cs:larsson-muzi:0:shuff:76,want,want,chci,chtít,impf
en:larsson-muzi:0:shuff:79,cs:larsson-muzi:0:shuff:80,mean,mean,myslíš,myslet,impf
en:larsson-muzi:0:shuff:81,cs:larsson-muzi:0:shuff:82,like,like,chceš,chtít,impf
en:larsson-muzi:0:shuff:84,cs:larsson-muzi:0:shuff:85,met,meet,Setkali,setkat,pf
en:larsson-muzi:0:shuff:85,cs:larsson-muzi:0:shuff:86,sat,sit,sedl,sednout,pf
en:larsson-muzi:0:shuff:85,cs:larsson-muzi:0:shuff:86,felt,feel,pocítil,pocítit,pf
en:larsson-muzi:0:shuff:87,cs:larsson-muzi:0:shuff:88,put,put,Položil,položit,pf
en:larsson-muzi:0:shuff:88,cs:larsson-muzi:0:shuff:89,seem,seem,zdálo,zdát,impf
en:larsson-muzi:0:shuff:88,cs:larsson-muzi:0:shuff:89,squeezed,squeeze,objal,obejmout,pf
en:larsson-muzi:0:shuff:90,cs:larsson-muzi:0:shuff:91,feel,feel,cítila,cítit,impf
en:larsson-muzi:0:shuff:90,cs:larsson-muzi:0:shuff:91,studied,study,studovala,studovat,impf
en:larsson-muzi:0:shuff:91,cs:larsson-muzi:0:shuff:92,reach,reach,dosáhla,dosáhnout,pf
en:larsson-muzi:0:shuff:92,cs:larsson-muzi:0:shuff:93,did,do,neudělala,udělat,pf
en:larsson-muzi:0:shuff:97,cs:larsson-muzi:0:shuff:98,mentioned,mention,zmínil,zmínit,pf
en:larsson-muzi:0:shuff:97,cs:larsson-muzi:0:shuff:98,find,find,vyhledat,vyhledat,pf
en:larsson-muzi:0:shuff:105,cs:larsson-muzi:0:shuff:106,met,meet,Setkaly,setkat,pf
en:larsson-muzi:0:shuff:109,cs:larsson-muzi:0:shuff:110,kept,keep,drží,držet,impf
en:larsson-muzi:0:shuff:110,cs:larsson-muzi:0:shuff:111,ducking,duck,vyhýbal,vyhýbat,impf
en:larsson-muzi:0:shuff:110,cs:larsson-muzi:0:shuff:111,tell,tell,říkat,říkat,impf
en:larsson-muzi:0:shuff:111,cs:larsson-muzi:0:shuff:112,spent,spend,věnovala,věnovat,impf
en:larsson-muzi:0:shuff:111,cs:larsson-muzi:0:shuff:112,put,put,dal,dát,pf
