en:brown-andele_demoni:0:shuff:2,cs:brown-andele_demoni:0:shuff:2,descended,descend,sestupoval,sestupovat,impf
en:brown-andele_demoni:0:shuff:2,cs:brown-andele_demoni:0:shuff:2,floating,float,plaval,plavat,impf
en:brown-andele_demoni:0:shuff:3,cs:brown-andele_demoni:0:shuff:3,guiding,guide,vede,vést,impf
en:brown-andele_demoni:0:shuff:4,cs:brown-andele_demoni:0:shuff:4,hear,hear,slyšel,slyšet,impf
en:brown-andele_demoni:0:shuff:5,cs:brown-andele_demoni:0:shuff:5,find,find,nenajdou,najít,pf
en:brown-andele_demoni:0:shuff:7,cs:brown-andele_demoni:0:shuff:7,left,leave,opouštěl,opouštět,impf
en:brown-andele_demoni:0:shuff:7,cs:brown-andele_demoni:0:shuff:7,imagined,imagine,představit,představit,pf
en:brown-andele_demoni:0:shuff:8,cs:brown-andele_demoni:0:shuff:8,found,find,ocitl,ocitnout,pf
en:brown-andele_demoni:0:shuff:9,cs:brown-andele_demoni:0:shuff:9,led,lead,vedl,vést,impf
en:brown-andele_demoni:0:shuff:10,cs:brown-andele_demoni:0:shuff:10,broke,break,přerušil,přerušit,pf
en:brown-andele_demoni:0:shuff:11,cs:brown-andele_demoni:0:shuff:11,waiting,wait,čekat,čekat,impf
en:brown-andele_demoni:0:shuff:13,cs:brown-andele_demoni:0:shuff:13,pulled,pull,Vytáhl,vytáhnout,pf
en:brown-andele_demoni:0:shuff:20,cs:brown-andele_demoni:0:shuff:20,handed,hand,předal,předat,pf
en:brown-andele_demoni:0:shuff:21,cs:brown-andele_demoni:0:shuff:21,conceal,conceal,schovat,schovat,pf
en:brown-andele_demoni:0:shuff:22,cs:brown-andele_demoni:0:shuff:22,disappears,disappear,zmizí,zmizet,pf
en:brown-andele_demoni:0:shuff:25,cs:brown-andele_demoni:0:shuff:25,smelled,smell,Páchla,páchnout,impf
en:brown-andele_demoni:0:shuff:27,cs:brown-andele_demoni:0:shuff:27,pointed,point,ukazovala,ukazovat,impf
en:brown-andele_demoni:0:shuff:31,cs:brown-andele_demoni:0:shuff:30,Trying,try,snažil,snažit,impf
en:brown-andele_demoni:0:shuff:31,cs:brown-andele_demoni:0:shuff:30,save,save,zachránit,zachránit,pf
en:brown-andele_demoni:0:shuff:32,cs:brown-andele_demoni:0:shuff:31,answer,answer,neodpověděl,odpovědět,pf
en:brown-andele_demoni:0:shuff:34,cs:brown-andele_demoni:0:shuff:33,looked,look,podíval,podívat,pf
en:brown-andele_demoni:0:shuff:38,cs:brown-andele_demoni:0:shuff:37,watched,watch,Sledují,sledovat,impf
en:brown-andele_demoni:0:shuff:42,cs:brown-andele_demoni:0:shuff:40,felt,feel,cítil,cítit,impf
en:brown-andele_demoni:0:shuff:44,cs:brown-andele_demoni:0:shuff:42,prepared,prepare,nepřipravilo,připravit,pf
en:brown-andele_demoni:0:shuff:45,cs:brown-andele_demoni:0:shuff:43,thought,think,myslel,myslet,impf
en:brown-andele_demoni:0:shuff:60,cs:brown-andele_demoni:0:shuff:59,surprised,surprise,nepřekvapilo,překvapit,pf
en:brown-andele_demoni:0:shuff:62,cs:brown-andele_demoni:0:shuff:61,did,do,šlo,jít,impf
en:brown-andele_demoni:0:shuff:62,cs:brown-andele_demoni:0:shuff:61,work,work,šlo,jít,impf
en:brown-andele_demoni:0:shuff:64,cs:brown-andele_demoni:0:shuff:63,felt,feel,pocítil,pocítit,pf
en:brown-andele_demoni:0:shuff:64,cs:brown-andele_demoni:0:shuff:63,realizing,realize,uvědomil,uvědomit,pf
en:brown-andele_demoni:0:shuff:64,cs:brown-andele_demoni:0:shuff:63,see,see,uvidí,uvidět,pf
en:brown-andele_demoni:0:shuff:66,cs:brown-andele_demoni:0:shuff:65,discovered,discover,objevil,objevit,pf
en:brown-andele_demoni:0:shuff:66,cs:brown-andele_demoni:0:shuff:65,gained,gain,získal,získat,pf
en:brown-andele_demoni:0:shuff:72,cs:brown-andele_demoni:0:shuff:70,felt,feel,cítila,cítit,impf
en:brown-andele_demoni:0:shuff:80,cs:brown-andele_demoni:0:shuff:79,Take,take,Vezměte,vzít,pf
en:brown-andele_demoni:0:shuff:89,cs:brown-andele_demoni:0:shuff:88,heard,hear,slyšel,slyšet,impf
en:brown-andele_demoni:0:shuff:92,cs:brown-andele_demoni:0:shuff:90,killed,kill,zabíjel,zabíjet,impf
en:brown-andele_demoni:0:shuff:92,cs:brown-andele_demoni:0:shuff:90,killed,kill,zabíjel,zabíjet,impf
en:brown-andele_demoni:0:shuff:92,cs:brown-andele_demoni:0:shuff:90,killing,kill,zabíjel,zabíjet,impf
en:brown-andele_demoni:0:shuff:92,cs:brown-andele_demoni:0:shuff:90,killed,kill,zabíjel,zabíjet,impf
en:brown-andele_demoni:0:shuff:92,cs:brown-andele_demoni:0:shuff:90,killed,kill,zabíjel,zabíjet,impf
en:brown-andele_demoni:0:shuff:92,cs:brown-andele_demoni:0:shuff:90,killing,kill,zabíjel,zabíjet,impf
en:brown-andele_demoni:0:shuff:92,cs:brown-andele_demoni:0:shuff:90,satisfying,satisfy,uspokojil,uspokojit,pf
en:brown-andele_demoni:0:shuff:95,cs:brown-andele_demoni:0:shuff:92,studied,study,Pozoroval,pozorovat,impf
en:brown-andele_demoni:0:shuff:96,cs:brown-andele_demoni:0:shuff:93,felt,feel,cítil,cítit,impf
en:brown-andele_demoni:0:shuff:96,cs:brown-andele_demoni:0:shuff:93,end,end,ukončit,ukončit,pf
en:brown-andele_demoni:0:shuff:97,cs:brown-andele_demoni:0:shuff:94,matter,matter,záleží,záležet,impf
en:brown-andele_demoni:0:shuff:99,cs:brown-andele_demoni:0:shuff:96,urged,urge,naléhal,naléhat,impf
en:brown-andele_demoni:0:shuff:101,cs:brown-andele_demoni:0:shuff:99,nodded,nod,přikývl,přikývnout,pf
en:brown-andele_demoni:0:shuff:104,cs:brown-andele_demoni:0:shuff:101,leaving,leave,odcházíte,odcházet,impf
en:brown-andele_demoni:0:shuff:105,cs:brown-andele_demoni:0:shuff:102,turned,turn,obrátil,obrátit,pf
en:brown-andele_demoni:0:shuff:108,cs:brown-andele_demoni:0:shuff:105,understand,understand,rozumět,rozumět,impf
en:brown-andele_demoni:0:shuff:111,cs:brown-andele_demoni:0:shuff:108,smiled,smile,Smál,smát,impf
en:brown-andele_demoni:0:shuff:113,cs:brown-andele_demoni:0:shuff:110,lifting,lift,zdvihl,zdvihnout,pf
en:brown-andele_demoni:0:shuff:113,cs:brown-andele_demoni:0:shuff:110,felt,feel,cítil,cítit,impf
en:brown-andele_demoni:0:shuff:114,cs:brown-andele_demoni:0:shuff:111,move,move,pohyboval,pohybovat,impf
en:brown-andele_demoni:0:shuff:114,cs:brown-andele_demoni:0:shuff:111,slowing,slow,nezpomalovalo,zpomalovat,impf
en:brown-andele_demoni:0:shuff:115,cs:brown-andele_demoni:0:shuff:112,sensed,sense,vycítil,vycítit,pf
en:brown-andele_demoni:0:shuff:116,cs:brown-andele_demoni:0:shuff:113,remembered,remember,Vzpomněl,vzpomenout,pf
en:brown-andele_demoni:0:shuff:119,cs:brown-andele_demoni:0:shuff:115,sat,sit,Posadil,posadit,pf
en:brown-andele_demoni:0:shuff:119,cs:brown-andele_demoni:0:shuff:115,sat,sit,sedět,sedět,impf
en:brown-andele_demoni:0:shuff:123,cs:brown-andele_demoni:0:shuff:119,listening,listen,neposlouchal,poslouchat,impf
en:brown-andele_demoni:0:shuff:125,cs:brown-andele_demoni:0:shuff:121,ached,ache,bolelo,bolet,impf
en:brown-andele_demoni:0:shuff:125,cs:brown-andele_demoni:0:shuff:121,needed,need,musí,muset,impf
en:brown-andele_demoni:0:shuff:125,cs:brown-andele_demoni:0:shuff:121,act,act,jednat,jednat,impf
en:brown-andele_demoni:0:shuff:126,cs:brown-andele_demoni:0:shuff:122,approached,approach,blížil,blížit,impf
en:brown-andele_demoni:0:shuff:127,cs:brown-andele_demoni:0:shuff:123,leading,lead,vedl,vést,impf
en:brown-andele_demoni:0:shuff:129,cs:brown-andele_demoni:0:shuff:126,dividing,divide,rozdělovalo,rozdělovat,impf
